start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
57	198	57	34	488	106	obj_000057_000198.png
443	752	59	85	316	458	obj_000443_000752.png
756	1356	47	270	344	520	obj_000756_001356.png
1373	1675	37	259	382	522	obj_001373_001675.png
1691	2028	334	445	466	486	obj_001691_002028.png
2096	2255	689	58	1107	114	obj_002096_002255.png
2287	2390	756	139	1003	168	obj_002287_002390.png
2410	2707	757	195	931	224	obj_002410_002707.png
2770	3199	721	298	926	486	obj_002770_003199.png
3208	3530	776	327	867	381	obj_003208_003530.png
3583	3940	851	69	1219	238	obj_003583_003940.png
4453	4596	875	286	1074	481	obj_004453_004596.png
4603	5073	341	379	724	607	obj_004603_005073.png
5082	6183	872	322	1230	656	obj_005082_006183.png
6193	6413	959	289	1035	477	obj_006193_006413.png
6427	7395	871	371	1186	544	obj_006427_007395.png
7404	8013	657	286	835	468	obj_007404_008013.png
8121	8214	316	589	527	634	obj_008121_008214.png
8218	8508	474	498	880	667	obj_008218_008508.png
8517	9065	488	532	552	626	obj_008517_009065.png
9208	9928	490	532	864	631	obj_009208_009928.png
