start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
57	198	57	35	488	107	obj_000057_000198.png
443	753	59	86	316	459	obj_000443_000753.png
756	1356	47	271	344	521	obj_000756_001356.png
1373	1675	37	260	382	523	obj_001373_001675.png
1691	2028	334	446	466	487	obj_001691_002028.png
2096	2255	689	59	1107	115	obj_002096_002255.png
2287	2390	756	140	1003	169	obj_002287_002390.png
2410	2707	757	196	931	225	obj_002410_002707.png
2770	3199	721	299	926	487	obj_002770_003199.png
3208	3530	776	328	867	382	obj_003208_003530.png
3534	3566	401	47	1107	487	obj_003534_003566.png
3583	3940	1252	70	1620	239	obj_003583_003940.png
4453	4596	1276	287	1475	482	obj_004453_004596.png
4603	5074	742	380	1125	608	obj_004603_005074.png
5082	6183	1273	323	1631	657	obj_005082_006183.png
6193	6413	1360	290	1436	478	obj_006193_006413.png
6427	7395	1272	372	1587	545	obj_006427_007395.png
7404	8013	1058	287	1236	469	obj_007404_008013.png
8121	8214	717	797	928	842	obj_008121_008214.png
8218	8509	875	706	1281	875	obj_008218_008509.png
8517	9065	889	740	953	834	obj_008517_009065.png
9073	9928	891	740	1265	839	obj_009073_009928.png
