start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
74	88	57	35	94	80	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000074_000088_001_001.png
89	106	113	42	117	44	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000089_000106_001_001.png
89	106	115	55	143	107	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000089_000106_002_001.png
89	106	101	57	110	77	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000089_000106_003_001.png
108	132	184	37	226	72	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000108_000132_001_001.png
108	132	234	55	280	73	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000108_000132_002_001.png
133	139	284	55	309	88	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000133_000139_001_001.png
133	139	278	62	287	71	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000133_000139_002_001.png
133	139	269	68	274	68	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000133_000139_003_001.png
133	139	292	83	294	88	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000133_000139_004_001.png
140	141	292	77	297	83	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000140_000141_001_001.png
140	141	295	85	295	88	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000140_000141_002_001.png
149	150	341	36	366	43	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000149_000150_001_001.png
151	160	347	40	352	40	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000151_000160_001_001.png
151	160	358	40	365	60	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000151_000160_002_001.png
151	160	370	42	390	60	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000151_000160_003_001.png
161	182	393	47	444	65	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000161_000182_001_001.png
161	182	448	48	480	66	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000161_000182_002_001.png
161	182	481	49	488	94	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000161_000182_003_001.png
161	182	381	54	382	54	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000161_000182_004_001.png
161	182	385	54	386	54	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000161_000182_005_001.png
461	463	59	92	91	95	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000461_000463_001_001.png
464	477	144	86	292	94	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000464_000477_001_001.png
464	477	83	94	89	94	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000464_000477_002_001.png
464	477	92	94	119	96	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000464_000477_003_001.png
464	477	124	94	140	95	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000464_000477_005_001.png
496	542	64	201	67	212	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000496_000542_001_001.png
496	542	72	201	77	215	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000496_000542_002_001.png
496	542	162	212	165	233	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000496_000542_003_001.png
496	542	210	212	213	222	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000496_000542_004_001.png
496	542	191	213	202	228	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs//cleanup/obj_000496_000542_005_001.png
