start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	57	35	94	80	obj_000000_000000.png
59	62	101	42	143	107	obj_000059_000062.png
74	88	184	37	280	73	obj_000074_000088.png
89	106	269	55	309	88	obj_000089_000106.png
108	132	292	77	297	88	obj_000108_000132.png
133	139	341	36	366	43	obj_000133_000139.png
140	141	346	40	390	60	obj_000140_000141.png
144	145	380	47	488	94	obj_000144_000145.png
149	150	59	92	91	95	obj_000149_000150.png
151	160	83	86	292	96	obj_000151_000160.png
161	182	64	201	224	250	obj_000161_000182.png
185	187	224	212	259	226	obj_000185_000187.png
192	193	262	188	269	192	obj_000192_000193.png
204	205	185	389	190	395	obj_000204_000205.png
225	226	189	357	243	391	obj_000225_000226.png
228	229	210	407	252	428	obj_000228_000229.png
384	385	181	425	184	456	obj_000384_000385.png
461	463	176	444	190	459	obj_000461_000463.png
464	477	129	394	162	397	obj_000464_000477.png
496	542	126	388	134	401	obj_000496_000542.png
543	553	160	347	180	381	obj_000543_000553.png
554	556	187	313	316	393	obj_000554_000556.png
560	563	232	271	344	503	obj_000560_000563.png
582	585	291	474	297	479	obj_000582_000585.png
587	589	166	513	173	521	obj_000587_000589.png
613	621	131	448	133	451	obj_000613_000621.png
627	637	47	313	131	371	obj_000627_000637.png
640	643	168	283	170	288	obj_000640_000643.png
644	649	77	477	81	481	obj_000644_000649.png
652	656	52	449	66	478	obj_000652_000656.png
657	661	37	401	46	435	obj_000657_000661.png
664	677	41	279	139	375	obj_000664_000677.png
693	694	178	272	189	273	obj_000693_000694.png
696	697	280	288	325	319	obj_000696_000697.png
705	707	177	521	195	523	obj_000705_000707.png
708	709	367	260	382	289	obj_000708_000709.png
720	721	334	459	359	471	obj_000720_000721.png
735	739	377	457	427	487	obj_000735_000739.png
740	741	454	446	466	471	obj_000740_000741.png
758	760	689	82	706	114	obj_000758_000760.png
828	832	717	99	724	101	obj_000828_000832.png
837	841	736	86	751	114	obj_000837_000841.png
853	860	744	88	925	113	obj_000853_000860.png
864	865	934	75	964	106	obj_000864_000865.png
876	879	804	59	925	74	obj_000876_000879.png
882	883	998	76	1015	93	obj_000882_000883.png
900	901	1021	80	1044	111	obj_000900_000901.png
924	925	1042	79	1107	97	obj_000924_000925.png
927	928	756	155	767	158	obj_000927_000928.png
972	976	792	140	890	169	obj_000972_000976.png
979	980	888	150	955	164	obj_000979_000980.png
983	986	944	154	1002	165	obj_000983_000986.png
996	998	757	210	824	225	obj_000996_000998.png
1008	1009	849	205	865	218	obj_001008_001009.png
1020	1023	878	196	889	217	obj_001020_001023.png
1030	1033	900	202	917	222	obj_001030_001033.png
1036	1037	906	202	931	224	obj_001036_001037.png
1392	1394	1069	188	1082	232	obj_001392_001394.png
1423	1424	1079	172	1147	239	obj_001423_001424.png
1425	1431	722	299	926	458	obj_001425_001431.png
1432	1433	726	426	844	487	obj_001432_001433.png
1435	1436	722	310	888	441	obj_001435_001436.png
1440	1443	873	436	886	476	obj_001440_001443.png
1444	1449	732	325	895	434	obj_001444_001449.png
1450	1453	896	329	907	337	obj_001450_001453.png
1458	1460	721	358	738	438	obj_001458_001460.png
1464	1465	731	413	767	455	obj_001464_001465.png
1472	1473	751	448	833	482	obj_001472_001473.png
1486	1494	846	473	849	483	obj_001486_001494.png
1500	1501	864	448	915	481	obj_001500_001501.png
1536	1544	833	326	884	449	obj_001536_001544.png
1644	1646	816	312	846	330	obj_001644_001646.png
1651	1655	822	301	866	352	obj_001651_001655.png
1668	1669	752	389	764	400	obj_001668_001669.png
1671	1673	776	365	802	382	obj_001671_001673.png
1705	1714	778	359	809	380	obj_001705_001714.png
1716	1717	766	380	778	389	obj_001716_001717.png
1718	1741	401	47	1620	487	obj_001718_001741.png
1751	1759	1285	333	1421	412	obj_001751_001759.png
2134	2139	742	287	1475	551	obj_002134_002139.png
2140	2141	857	537	887	549	obj_002140_002141.png
2143	2146	890	534	921	550	obj_002143_002146.png
2147	2151	915	512	991	548	obj_002147_002151.png
2152	2198	873	506	878	510	obj_002152_002198.png
2199	2207	1014	518	1066	536	obj_002199_002207.png
2208	2213	1077	508	1085	532	obj_002208_002213.png
2219	2224	1078	514	1125	532	obj_002219_002224.png
2225	2231	801	382	843	412	obj_002225_002231.png
2232	2246	798	404	811	415	obj_002232_002246.png
2250	2251	807	388	839	413	obj_002250_002251.png
2303	2305	800	380	824	402	obj_002303_002305.png
2307	2341	772	390	830	608	obj_002307_002341.png
2343	2354	822	585	840	597	obj_002343_002354.png
2355	2370	874	576	906	593	obj_002355_002370.png
