start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
74	141	57	35	309	107	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000074_000141_group.png
149	182	341	36	488	94	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000149_000182_group.png
460	477	59	86	292	96	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000460_000477_group.png
496	553	64	201	259	250	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000496_000553_group.png
558	563	262	188	269	192	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000558_000563_group.png
579	585	185	389	190	395	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000579_000585_group.png
613	621	197	357	243	390	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000613_000621_group.png
627	677	126	347	252	459	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000627_000677_group.png
735	739	307	313	316	321	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000735_000739_group.png
770	781	310	316	313	318	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000770_000781_group.png
789	794	242	271	247	277	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000789_000794_group.png
806	814	336	408	344	413	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000806_000814_group.png
825	832	233	496	240	503	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000825_000832_group.png
837	841	291	474	296	479	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000837_000841_group.png
852	860	166	513	172	521	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000852_000860_group.png
876	879	131	448	133	450	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000876_000879_group.png
964	966	47	369	49	371	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000964_000966_group.png
972	976	128	313	131	320	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000972_000976_group.png
983	986	168	283	170	288	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000983_000986_group.png
995	998	77	477	81	481	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000995_000998_group.png
1420	1431	45	433	66	478	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001420_001431_group.png
1440	1453	125	272	325	319	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001440_001453_group.png
1472	1473	177	521	194	523	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001472_001473_group.png
1486	1494	367	260	382	289	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001486_001494_group.png
1705	1741	334	458	427	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001705_001741_group.png
