start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
74	141	57	35	309	107	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000074_000141_group.png
74	182	57	35	488	107	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000074_000182_group.png
74	621	57	35	488	395	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000074_000621_group.png
579	677	126	347	252	459	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000579_000677_group.png
496	794	64	188	316	321	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000496_000794_group.png
579	814	126	347	344	459	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000579_000814_group.png
579	879	126	347	344	521	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000579_000879_group.png
579	986	47	283	344	459	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000579_000986_group.png
995	998	77	477	81	481	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000995_000998_group.png
579	1759	45	260	466	523	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000579_001759_group.png
2134	2370	689	59	1107	169	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_002134_002370_group.png
2423	2468	757	196	931	225	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_002423_002468_group.png
2796	2853	722	299	926	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_002796_002853_group.png
2796	2951	722	299	926	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_002796_002951_group.png
2796	3029	721	299	926	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_002796_003029_group.png
2796	3344	721	299	926	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_002796_003344_group.png
3599	3709	1252	70	1620	114	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003599_003709_group.png
3721	3882	1293	146	1545	179	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003721_003882_group.png
3888	4028	1286	211	1464	430	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003888_004028_group.png
3969	4563	1276	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003969_004563_group.png
4624	4636	742	486	763	514	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004624_004636_group.png
4624	4760	742	486	1125	551	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004624_004760_group.png
2796	4877	721	299	926	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_002796_004877_group.png
4930	4984	772	568	969	608	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004930_004984_group.png
4930	5045	772	568	1109	608	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004930_005045_group.png
5108	5224	1275	490	1631	534	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_005108_005224_group.png
5298	5397	1273	545	1574	590	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_005298_005397_group.png
5402	5449	1345	619	1450	657	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_005402_005449_group.png
3969	5520	1276	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003969_005520_group.png
3969	5567	1276	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003969_005567_group.png
3969	5705	1276	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003969_005705_group.png
3969	6400	1276	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003969_006400_group.png
3969	6627	1276	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003969_006627_group.png
3969	6655	1276	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003969_006655_group.png
3969	6698	1276	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003969_006698_group.png
5298	7081	1272	525	1587	590	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_005298_007081_group.png
7421	7471	1158	287	1173	469	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_007421_007471_group.png
3969	7601	1082	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003969_007601_group.png
3969	7769	1058	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_003969_007769_group.png
8146	8205	717	797	928	842	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008146_008205_group.png
8146	8270	873	797	928	842	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008146_008270_group.png
8146	8335	873	797	928	843	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008146_008335_group.png
8406	8455	1098	706	1281	875	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008406_008455_group.png
8146	8559	873	706	1281	875	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008146_008559_group.png
8146	8883	873	740	953	843	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008146_008883_group.png
8146	9387	873	740	953	843	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008146_009387_group.png
8406	9445	1098	706	1281	875	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008406_009445_group.png
8406	9471	1098	706	1281	875	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008406_009471_group.png
