start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
74	141	57	35	94	80	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000074_000141_group_00.png
74	141	101	57	110	77	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000074_000141_group_01.png
74	141	113	42	143	107	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000074_000141_group_02.png
74	141	184	37	226	72	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000074_000141_group_03.png
74	141	234	55	309	88	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000074_000141_group_04.png
149	182	341	36	366	60	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000149_000182_group_00.png
149	182	370	42	390	60	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000149_000182_group_01.png
149	182	393	47	444	65	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000149_000182_group_02.png
149	182	448	48	488	94	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000149_000182_group_03.png
460	477	59	92	119	96	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000460_000477_group_00.png
460	477	124	94	140	95	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000460_000477_group_01.png
460	477	144	86	292	94	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000460_000477_group_02.png
496	553	64	201	67	212	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000496_000553_group_00.png
496	553	72	201	77	215	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000496_000553_group_01.png
496	553	89	215	137	237	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000496_000553_group_02.png
