start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
74	182	57	35	488	107	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000074_000182_group.png
460	477	59	86	292	96	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000460_000477_group.png
496	553	64	201	259	250	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000496_000553_group.png
558	563	262	188	269	192	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000558_000563_group.png
579	589	185	389	190	395	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000579_000589_group.png
613	677	126	347	252	459	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000613_000677_group.png
735	739	307	313	316	321	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000735_000739_group.png
770	794	242	271	313	318	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000770_000794_group.png
806	814	336	408	344	413	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000806_000814_group.png
825	841	233	474	296	503	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000825_000841_group.png
852	860	166	513	172	521	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000852_000860_group.png
876	879	131	448	133	450	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000876_000879_group.png
964	966	47	369	49	371	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000964_000966_group.png
972	986	128	283	170	320	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000972_000986_group.png
995	998	77	477	81	481	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000995_000998_group.png
1207	1212	190	391	190	391	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001207_001212_group.png
1420	1453	41	272	325	478	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001420_001453_group.png
1472	1473	177	521	194	523	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001472_001473_group.png
1486	1494	367	260	382	289	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001486_001494_group.png
1705	1759	334	446	466	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001705_001759_group.png
1971	1975	380	271	380	271	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001971_001975_group.png
2134	2207	689	75	964	114	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002134_002207_group.png
2208	2246	804	59	1107	111	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002208_002246_group.png
2303	2370	756	140	1002	169	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002303_002370_group.png
2423	2468	757	196	931	225	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002423_002468_group.png
