start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
74	477	57	35	488	107	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_000074_000477_group.png
496	563	64	188	269	250	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_000496_000563_group.png
579	781	126	313	316	459	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_000579_000781_group.png
789	794	242	271	247	277	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_000789_000794_group.png
806	814	336	408	344	413	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_000806_000814_group.png
825	879	131	448	296	521	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_000825_000879_group.png
964	966	47	369	49	371	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_000964_000966_group.png
972	986	128	283	170	320	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_000972_000986_group.png
995	1431	45	433	81	481	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_000995_001431_group.png
1440	1453	125	272	325	319	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_001440_001453_group.png
1472	1473	177	521	194	523	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_001472_001473_group.png
1486	1494	367	260	382	289	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_001486_001494_group.png
1705	1759	334	446	466	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_001705_001759_group.png
2134	2246	689	59	1107	114	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_002134_002246_group.png
2303	2370	756	140	1002	169	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_002303_002370_group.png
2423	2468	757	196	931	225	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_002423_002468_group.png
2796	3344	721	299	926	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_002796_003344_group.png
3599	3709	1252	70	1620	114	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_003599_003709_group.png
3721	3882	1293	146	1545	179	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_003721_003882_group.png
3888	3926	1294	211	1464	239	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_003888_003926_group.png
3969	3997	1295	288	1426	359	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_003969_003997_group.png
4000	4563	1276	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_004000_004563_group.png
4624	4760	742	486	1125	551	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/lines/obj_004624_004760_group.png
