start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
74	88	57	35	94	80	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000074_000088.png
89	106	101	42	143	107	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000089_000106.png
108	132	184	37	280	73	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000108_000132.png
133	139	269	55	309	88	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000133_000139.png
140	141	292	77	297	88	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000140_000141.png
149	150	341	36	366	43	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000149_000150.png
151	160	347	40	390	60	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000151_000160.png
161	182	381	47	488	94	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000161_000182.png
460	463	59	92	91	95	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000460_000463.png
464	477	83	86	292	96	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000464_000477.png
496	542	64	201	224	250	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000496_000542.png
543	553	224	212	259	226	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000543_000553.png
558	559	262	191	263	192	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000558_000559.png
560	563	268	188	269	191	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000560_000563.png
579	585	185	389	190	395	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000579_000585.png
587	589	189	391	189	391	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000587_000589.png
613	621	197	357	243	390	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000613_000621.png
627	637	210	407	252	428	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000627_000637.png
639	643	181	425	184	456	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000639_000643.png
644	649	176	444	190	459	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000644_000649.png
652	656	129	394	162	396	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000652_000656.png
657	661	126	388	134	401	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000657_000661.png
664	677	160	347	180	381	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000664_000677.png
735	739	307	313	316	321	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000735_000739.png
770	781	310	316	313	318	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000770_000781.png
789	794	242	271	247	277	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000789_000794.png
806	814	336	408	344	413	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000806_000814.png
825	832	233	496	240	503	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000825_000832.png
837	841	291	474	296	479	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000837_000841.png
852	860	166	513	172	521	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000852_000860.png
876	879	131	448	133	450	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000876_000879.png
964	966	47	369	49	371	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000964_000966.png
972	976	128	313	131	320	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000972_000976.png
983	986	168	283	170	288	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000983_000986.png
995	998	77	477	81	481	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_000995_000998.png
1207	1212	190	391	190	391	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001207_001212.png
1420	1421	64	475	66	478	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001420_001421.png
1422	1424	52	449	56	461	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001422_001424.png
1425	1431	45	433	46	435	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001425_001431.png
1432	1433	41	374	41	374	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001432_001433.png
1440	1443	125	279	139	286	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001440_001443.png
1444	1449	178	272	189	273	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001444_001449.png
1450	1453	281	288	325	319	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001450_001453.png
1472	1473	177	521	194	523	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001472_001473.png
1486	1494	367	260	382	289	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001486_001494.png
1705	1714	334	459	359	471	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001705_001714.png
1718	1741	377	458	427	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001718_001741.png
1750	1759	454	446	466	471	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001750_001759.png
1971	1975	380	271	380	271	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_001971_001975.png
2134	2139	689	82	706	114	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_002134_002139.png
2143	2146	717	99	724	101	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_002143_002146.png
2147	2151	736	86	751	114	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_002147_002151.png
2152	2198	744	88	925	113	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/obj_002152_002198.png
