start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
74	182	57	35	488	107	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_000074_000182_group.png
460	1759	45	86	466	523	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_000460_001759_group.png
2134	2370	689	59	1107	169	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_002134_002370_group.png
2423	2468	757	196	931	225	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_002423_002468_group.png
2796	3344	721	299	926	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_002796_003344_group.png
3599	3709	1252	70	1620	114	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_003599_003709_group.png
3721	3902	1293	146	1545	237	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_003721_003902_group.png
3904	4563	1276	211	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_003904_004563_group.png
4624	4718	742	486	991	551	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_004624_004718_group.png
4722	4760	1014	508	1125	536	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_004722_004760_group.png
4808	4877	798	380	843	415	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_004808_004877_group.png
4930	5449	772	490	1631	657	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_004930_005449_group.png
5486	6698	1280	289	1473	478	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_005486_006698_group.png
7056	7081	1272	525	1587	545	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_007056_007081_group.png
7421	7769	1058	287	1236	469	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_007421_007769_group.png
8146	8335	717	797	928	843	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_008146_008335_group.png
8406	9471	889	706	1281	875	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_008406_009471_group.png
