start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
74	160	57	35	390	107	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000074_000160_group.png
161	182	381	47	488	94	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000161_000182_group.png
460	621	59	86	292	395	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000460_000621_group.png
627	656	129	394	252	459	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000627_000656_group.png
657	677	126	347	180	401	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000657_000677_group.png
735	794	242	271	316	321	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000735_000794_group.png
806	814	336	408	344	413	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000806_000814_group.png
825	879	131	448	296	521	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000825_000879_group.png
964	986	47	283	170	371	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000964_000986_group.png
995	998	77	477	81	481	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000995_000998_group.png
1420	1759	45	260	466	523	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001420_001759_group.png
2134	2370	689	59	1107	169	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002134_002370_group.png
2423	2468	757	196	931	225	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002423_002468_group.png
2796	2836	722	299	926	458	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002796_002836_group.png
2840	2853	726	426	818	487	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002840_002853_group.png
2873	2951	732	310	907	476	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002873_002951_group.png
2977	3029	721	358	915	483	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002977_003029_group.png
3268	3344	776	328	866	382	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003268_003344_group.png
3599	3709	1252	70	1620	114	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003599_003709_group.png
3721	3902	1293	146	1545	237	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003721_003902_group.png
3904	4028	1286	211	1464	430	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003904_004028_group.png
4498	4563	1276	287	1475	482	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_004498_004563_group.png
4624	4636	742	486	763	514	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_004624_004636_group.png
4643	4718	766	506	991	551	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_004643_004718_group.png
4722	4760	1014	508	1125	536	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_004722_004760_group.png
4808	4847	798	382	843	415	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_004808_004847_group.png
4849	4877	800	380	810	392	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_004849_004877_group.png
4930	4984	772	568	969	608	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_004930_004984_group.png
5011	5132	1004	510	1365	607	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_005011_005132_group.png
5133	5199	1356	497	1565	528	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_005133_005199_group.png
5200	5224	1562	490	1631	516	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_005200_005224_group.png
5298	5368	1273	562	1501	590	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_005298_005368_group.png
5369	5449	1345	545	1574	657	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_005369_005449_group.png
5486	5520	1327	341	1454	374	../SampleVideos/more/bigbang/bigbang_khan_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_005486_005520_group.png
