start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
-1	96	54	23	320	62	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_-00001_000096.png
96	155	55	65	303	75	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_000096_000155.png
155	229	154	97	278	130	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_000155_000229.png
229	364	367	90	651	141	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_000229_000364.png
364	630	163	145	599	189	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_000364_000630.png
814	975	800	56	946	91	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_000814_000975.png
999	1344	970	61	1255	107	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_000999_001344.png
1344	1401	1022	95	1182	103	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_001344_001401.png
1401	1429	234	242	234	242	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_001401_001429.png
1498	1734	141	241	256	288	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_001498_001734.png
1815	1951	314	235	602	265	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_001815_001951.png
1951	2294	314	261	592	276	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_001951_002294.png
2294	2560	138	308	832	355	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_002294_002560.png
2560	2701	173	366	407	393	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_002560_002701.png
2701	2746	570	373	570	383	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_002701_002746.png
2746	2994	180	363	687	449	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_002746_002994.png
2994	3130	182	481	416	509	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_002994_003130.png
3130	3181	586	466	694	489	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_003130_003181.png
3181	3223	187	545	208	566	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_003181_003223.png
3223	3418	349	524	708	555	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_003223_003418.png
3418	3606	197	592	714	621	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_003418_003606.png
3606	4172	829	405	845	567	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_003606_004172.png
4172	4557	836	371	1137	606	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_004172_004557.png
4557	4623	821	482	824	482	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_004557_004623.png
4623	4821	737	444	1183	665	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_004623_004821.png
4824	5491	810	398	1151	693	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_004824_005491.png
5545	5711	1024	512	1065	532	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_005545_005711.png
5711	5868	938	430	1010	483	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_005711_005868.png
5868	5984	942	410	982	599	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_005868_005984.png
5984	6252	914	358	955	405	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_005984_006252.png
6252	6298	916	376	916	379	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_006252_006298.png
6298	6453	912	359	1144	575	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_006298_006453.png
6453	6892	808	99	916	115	..\SampleVideos\more\econ1\lec_fgpixel_objs_noseg/cleanup/obj_006453_006892.png
