start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	182	50	479	344	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_00.png
0	0	691	70	1050	304	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000000_000000_01.png
240	377	71	465	129	519	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000240_000377_00.png
240	377	162	387	419	622	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000240_000377_01.png
377	447	238	647	265	671	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000377_000447_00.png
377	447	269	659	284	670	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000377_000447_01.png
377	447	288	655	322	669	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000377_000447_02.png
377	447	324	647	344	669	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000377_000447_03.png
377	447	349	649	379	674	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000377_000447_04.png
447	636	617	454	641	487	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000447_000636_00.png
447	636	643	433	687	474	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000447_000636_01.png
447	636	724	362	746	603	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000447_000636_02.png
447	636	774	596	1002	665	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000447_000636_03.png
858	1117	197	406	197	407	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000858_001117_00.png
858	1117	206	353	344	567	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000858_001117_01.png
858	1117	362	354	425	370	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000858_001117_02.png
858	1117	430	359	457	370	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000858_001117_03.png
858	1117	463	349	475	365	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_000858_001117_04.png
1381	1511	779	392	785	401	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001381_001511_00.png
1381	1511	787	403	942	566	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001381_001511_01.png
1511	1823	781	326	808	380	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001511_001823_00.png
1511	1823	824	319	851	337	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001511_001823_01.png
1511	1823	855	323	863	336	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001511_001823_02.png
1511	1823	867	318	924	335	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001511_001823_03.png
1511	1823	944	314	1057	333	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001511_001823_04.png
1823	1940	503	101	542	131	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001823_001940_00.png
1823	1940	549	112	621	129	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001823_001940_01.png
1823	1940	639	91	659	121	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001823_001940_02.png
1940	2149	214	446	218	450	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001940_002149_00.png
1940	2149	229	442	271	451	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_001940_002149_01.png
2149	2335	247	498	252	503	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_002149_002335_00.png
2149	2335	256	493	337	547	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_002149_002335_01.png
2361	2575	248	399	255	412	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_002361_002575_00.png
2361	2575	257	413	355	564	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_002361_002575_01.png
2361	2575	364	442	465	468	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_002361_002575_02.png
2361	2575	469	435	480	460	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_002361_002575_03.png
2361	2575	495	429	511	457	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_002361_002575_04.png
2575	2904	46	134	146	250	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_002575_002904_00.png
2904	3584	736	472	739	473	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_002904_003584_00.png
2904	3584	824	466	828	471	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_002904_003584_01.png
3673	3876	742	392	870	579	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_003673_003876_00.png
3876	4221	904	364	1128	413	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_003876_004221_00.png
3876	4221	1131	367	1145	385	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_003876_004221_01.png
4287	4889	809	413	831	424	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_004287_004889_00.png
4287	4889	848	424	849	426	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_004287_004889_01.png
4287	4889	853	432	853	432	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_004287_004889_02.png
4287	4889	855	435	978	551	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_004287_004889_03.png
4287	4889	987	465	1109	525	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_004287_004889_04.png
4287	4889	1111	503	1121	517	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_004287_004889_05.png
4287	4889	1127	453	1143	512	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_004287_004889_06.png
5019	5159	519	139	623	146	../SampleVideos/more/econ2/lec_fgpixel_objs_noseg/cleanup/negate//xcut//obj_005019_005159_00.png
