start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	182	50	1050	344	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_000000_000000.png
-1	44	944	159	944	159	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_-00001_000044.png
44	211	806	310	826	320	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_000044_000211.png
211	240	134	298	816	443	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_000211_000240.png
240	377	71	387	419	663	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_000240_000377.png
377	447	238	410	746	674	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_000377_000447.png
447	636	617	362	1002	665	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_000447_000636.png
636	711	186	388	206	408	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_000636_000711.png
711	784	195	397	371	609	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_000711_000784.png
784	813	186	388	206	408	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_000784_000813.png
813	858	196	395	281	628	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_000813_000858.png
858	1117	196	342	475	610	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_000858_001117.png
1117	1258	430	336	785	398	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_001117_001258.png
1258	1315	767	383	787	412	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_001258_001315.png
1315	1370	935	557	955	577	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_001315_001370.png
1370	1381	770	416	944	570	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_001370_001381.png
1381	1511	755	330	942	566	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_001381_001511.png
1511	1823	542	314	1057	616	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_001511_001823.png
1823	1940	438	91	659	443	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_001823_001940.png
1940	2149	189	442	271	524	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_001940_002149.png
2149	2335	247	493	337	547	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_002149_002335.png
2335	2361	246	411	266	431	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_002335_002361.png
2361	2575	193	399	511	564	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_002361_002575.png
2575	2904	46	134	861	252	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_002575_002904.png
2904	3584	687	231	863	555	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_002904_003584.png
3584	3673	735	392	755	412	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_003584_003673.png
3673	3876	673	330	870	579	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_003673_003876.png
3876	4221	904	364	1166	413	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_003876_004221.png
4221	4287	789	589	809	609	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_004221_004287.png
4287	4889	809	203	1143	551	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_004287_004889.png
4889	5019	364	198	923	397	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_004889_005019.png
5019	5159	519	139	623	188	..\SampleVideos\more\econ2\lec_fgpixel_objs_noseg/obj_005019_005159.png
