start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	1151	703	1275	716	obj_000000_000000.png
45	158	61	76	189	208	obj_000045_000158.png
163	504	48	67	204	242	obj_000163_000504.png
568	920	114	89	324	226	obj_000568_000920.png
924	1504	98	59	615	188	obj_000924_001504.png
1525	2228	98	56	875	211	obj_001525_002228.png
2240	3698	752	42	1097	190	obj_002240_003698.png
3703	4057	1013	92	1096	192	obj_003703_004057.png
4108	4269	51	335	219	515	obj_004108_004269.png
4495	5004	68	340	210	515	obj_004495_005004.png
5008	5092	133	400	147	422	obj_005008_005092.png
5200	6142	37	273	458	532	obj_005200_006142.png
6180	8290	110	189	716	607	obj_006180_008290.png
