start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	1151	703	1275	716	obj_000000_000000.png
45	157	61	76	189	208	obj_000045_000157.png
163	475	48	67	204	242	obj_000163_000475.png
628	919	114	89	324	226	obj_000628_000919.png
924	1503	98	59	615	188	obj_000924_001503.png
1525	2226	115	56	875	204	obj_001525_002226.png
2242	3698	752	42	1097	190	obj_002242_003698.png
3709	4057	1013	92	1096	192	obj_003709_004057.png
4108	4269	51	335	219	515	obj_004108_004269.png
4539	5003	68	340	210	515	obj_004539_005003.png
5008	5092	133	400	147	422	obj_005008_005092.png
5200	6141	37	273	458	532	obj_005200_006141.png
6180	8290	110	189	716	607	obj_006180_008290.png
