start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry
46	156	61	76	189	208
168	228	160	204	171	223
246	474	49	67	202	240
663	730	262	104	291	129
742	918	114	102	324	226
925	1189	232	69	431	188
1196	1503	0	60	615	211
1542	2121	512	85	560	115
2141	2225	755	56	875	185
2244	2486	756	82	888	183
2487	2689	771	167	868	185
2692	3154	772	178	815	185
3167	3233	974	42	1084	177
3245	3675	974	56	1087	174
3677	3697	974	104	1003	143
3710	3901	1014	93	1096	192
4109	4218	51	336	218	515
4219	4259	91	479	113	504
4354	4370	108	500	109	501
4372	4382	104	497	147	514
4388	4399	105	498	151	513
4417	4474	107	499	154	513
4498	4503	111	503	155	512
4504	4507	113	504	157	512
4523	4535	113	504	163	512
4550	4938	68	354	189	515
5009	5089	133	400	146	422
5201	5369	176	273	458	341
5388	5733	42	323	197	531
5795	6130	37	324	412	417
6181	6768	146	347	478	607
6772	6845	110	418	120	428
6901	6982	507	378	556	493
6996	7113	114	385	656	425
7152	7880	116	190	715	448
7882	8047	116	410	360	516
8075	8153	383	507	426	520
8158	8163	382	507	426	520
8164	8232	382	508	425	520
