start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
45	157	61	76	189	208	obj_000045_000157.png
167	229	160	204	171	223	obj_000167_000229.png
245	475	48	67	204	242	obj_000245_000475.png
662	730	255	89	292	130	obj_000662_000730.png
742	918	114	102	324	226	obj_000742_000918.png
924	1190	232	68	431	188	obj_000924_001190.png
1194	1503	98	59	615	204	obj_001194_001503.png
1541	2122	504	82	564	116	obj_001541_002122.png
2141	2226	755	56	875	186	obj_002141_002226.png
2243	3234	752	42	1084	190	obj_002243_003234.png
3245	3698	970	55	1097	176	obj_003245_003698.png
3709	3903	302	92	1096	250	obj_003709_003903.png
4108	4269	51	335	219	515	obj_004108_004269.png
4283	4404	118	457	136	522	obj_004283_004404.png
4495	4537	122	511	146	527	obj_004495_004537.png
4546	4939	68	340	210	527	obj_004546_004939.png
5008	5092	133	400	147	422	obj_005008_005092.png
5200	5370	176	273	458	341	obj_005200_005370.png
5387	5733	42	322	226	532	obj_005387_005733.png
5794	6130	37	324	412	417	obj_005794_006130.png
6180	6768	146	347	479	607	obj_006180_006768.png
6771	6845	110	418	120	428	obj_006771_006845.png
6899	6982	507	378	557	493	obj_006899_006982.png
6996	7113	114	383	657	427	obj_006996_007113.png
7151	7881	128	189	716	440	obj_007151_007881.png
7882	8153	128	418	410	527	obj_007882_008153.png
8156	8290	395	515	410	527	obj_008156_008290.png
