start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
67	130	61	76	189	208	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000001.png
213	222	160	204	171	223	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000003.png
298	308	114	67	134	100	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000004.png
315	472	48	73	204	242	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000005.png
677	709	257	89	292	130	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000007.png
754	989	114	89	388	226	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000008.png
1041	1150	232	68	431	188	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000009.png
1213	1592	98	59	615	180	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000011.png
1597	1609	547	82	564	103	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000012.png
2176	2221	755	56	875	186	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000021.png
2253	2365	752	52	891	185	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000022.png
2370	2419	807	120	906	190	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000023.png
3184	3227	974	42	1084	178	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000036.png
3338	3473	971	55	1097	176	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000038.png
3515	3554	1015	88	1052	138	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000040.png
3728	3755	1014	93	1096	192	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000043.png
4133	4179	51	335	219	515	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000049.png
4663	4685	68	383	191	447	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000057.png
4705	4742	73	414	209	479	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000058.png
4806	4819	98	424	147	512	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000060.png
4824	4885	89	341	176	507	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000061.png
4897	4936	167	408	180	475	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000062.png
5053	5068	133	400	147	422	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000065.png
5235	5239	176	296	230	341	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000069.png
5274	5346	248	273	458	315	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000070.png
5568	5729	42	322	225	532	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000075.png
5835	5907	271	324	412	354	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000077.png
5938	5950	157	340	177	359	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000078.png
5969	5997	37	406	62	417	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000079.png
6285	6475	146	347	434	463	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000083.png
6480	6491	250	474	262	492	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000084.png
6499	6615	236	501	433	607	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000085.png
6622	6831	110	405	479	428	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000086.png
6915	6971	507	378	557	493	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000087.png
7010	7105	115	383	656	425	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000088.png
7206	7219	683	384	716	411	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000089.png
7299	7309	238	189	384	211	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000092.png
7389	7479	257	229	423	274	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes_15_03_18/sentence000093.png
