start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
67	105	61	76	189	208	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000067_000105_group_00.png
112	130	120	120	134	150	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000112_000130_group_00.png
213	222	160	204	171	223	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000213_000222_group_00.png
298	308	114	67	134	100	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000298_000308_group_00.png
315	371	129	164	141	181	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000315_000371_group_00.png
315	371	146	86	186	165	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000315_000371_group_01.png
315	371	188	116	204	170	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000315_000371_group_02.png
377	433	48	136	64	146	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000377_000433_group_00.png
377	433	68	73	115	191	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000377_000433_group_01.png
440	458	89	221	95	231	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000440_000458_group_00.png
440	458	97	215	103	222	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000440_000458_group_01.png
440	458	128	221	138	242	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000440_000458_group_02.png
463	472	52	180	71	188	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000463_000472_group_00.png
677	709	257	89	276	130	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000677_000709_group_00.png
677	709	291	114	292	115	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000677_000709_group_01.png
754	790	114	208	123	226	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000754_000790_group_00.png
754	790	132	226	132	226	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000754_000790_group_01.png
754	790	190	142	210	148	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000754_000790_group_02.png
754	790	214	141	223	152	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000754_000790_group_03.png
801	815	305	113	319	130	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000801_000815_group_00.png
843	854	304	102	324	110	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000843_000854_group_00.png
911	913	186	138	187	148	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000911_000913_group_00.png
938	943	247	89	256	125	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000938_000943_group_00.png
948	951	332	89	343	129	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000948_000951_group_00.png
967	989	359	101	369	121	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000967_000989_group_00.png
967	989	378	103	388	119	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_000967_000989_group_01.png
1041	1052	234	71	242	154	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001041_001052_group_00.png
1104	1105	232	68	242	161	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001104_001105_group_00.png
1110	1120	233	170	244	188	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001110_001120_group_00.png
1144	1150	421	99	431	108	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001144_001150_group_00.png
1213	1238	461	59	474	143	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001213_001238_group_00.png
1213	1238	479	64	494	144	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001213_001238_group_01.png
1245	1262	478	159	494	180	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001245_001262_group_00.png
1280	1306	98	155	120	174	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001280_001306_group_00.png
1326	1348	582	94	594	115	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001326_001348_group_00.png
1326	1348	601	90	615	112	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001326_001348_group_01.png
1564	1592	504	96	513	116	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001564_001592_group_00.png
1564	1592	516	94	532	115	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001564_001592_group_01.png
1564	1592	550	95	560	111	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001564_001592_group_02.png
1597	1609	547	82	564	103	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_001597_001609_group_00.png
2176	2221	755	56	875	186	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002176_002221_group_00.png
2253	2365	752	158	754	161	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002253_002365_group_00.png
2253	2365	758	88	788	185	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002253_002365_group_01.png
2253	2365	791	92	808	177	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002253_002365_group_02.png
2253	2365	810	66	824	91	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002253_002365_group_03.png
2253	2365	826	65	826	65	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002253_002365_group_04.png
2253	2365	831	62	831	62	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002253_002365_group_05.png
2253	2365	835	59	835	59	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002253_002365_group_06.png
2253	2365	838	52	865	109	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002253_002365_group_07.png
2253	2365	873	107	891	116	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002253_002365_group_08.png
2370	2419	807	190	807	190	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002370_002419_group_00.png
2370	2419	809	188	810	189	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002370_002419_group_01.png
2370	2419	812	186	814	187	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002370_002419_group_02.png
2370	2419	820	120	872	182	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002370_002419_group_03.png
2370	2419	876	151	877	152	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002370_002419_group_04.png
2370	2419	879	127	896	153	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002370_002419_group_05.png
2370	2419	902	121	906	126	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_002370_002419_group_06.png
3184	3227	974	42	1084	178	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive/xcut/obj_003184_003227_group_00.png
