start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
67	130	61	76	189	208	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000067_000130_group.png
213	222	160	204	171	223	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000213_000222_group.png
298	308	114	67	134	100	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000298_000308_group.png
315	320	146	86	171	110	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000315_000320_group.png
324	347	172	116	204	170	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000324_000347_group.png
351	359	129	164	141	181	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000351_000359_group.png
360	382	102	144	167	191	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000360_000382_group.png
384	392	80	144	97	156	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000384_000392_group.png
393	428	58	73	103	140	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000393_000428_group.png
430	433	48	136	57	146	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000430_000433_group.png
440	443	97	215	103	222	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000440_000443_group.png
444	447	89	221	95	231	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000444_000447_group.png
450	458	128	221	138	242	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000450_000458_group.png
463	466	53	180	71	186	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000463_000466_group.png
467	472	52	185	61	188	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000467_000472_group.png
677	682	266	128	266	130	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000677_000682_group.png
683	702	257	89	276	127	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000683_000702_group.png
705	790	114	114	292	226	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000705_000790_group.png
801	809	305	113	315	130	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000801_000809_group.png
813	815	316	117	319	125	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000813_000815_group.png
843	847	304	106	315	108	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000843_000847_group.png
849	943	186	89	324	148	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000849_000943_group.png
948	951	332	89	343	129	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000948_000951_group.png
967	976	359	101	369	121	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000967_000976_group.png
978	989	378	103	388	119	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_000978_000989_group.png
1041	1120	232	68	247	188	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001041_001120_group.png
1144	1150	421	99	431	108	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001144_001150_group.png
1213	1223	461	59	474	143	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001213_001223_group.png
1227	1262	478	64	494	180	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001227_001262_group.png
1280	1306	98	155	120	174	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001280_001306_group.png
1326	1333	582	94	594	115	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001326_001333_group.png
1334	1348	601	90	615	112	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001334_001348_group.png
1564	1570	504	96	519	116	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001564_001570_group.png
1571	1580	520	94	532	115	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001571_001580_group.png
1583	1592	550	95	560	111	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001583_001592_group.png
1597	1609	547	82	564	103	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_001597_001609_group.png
2176	2419	752	52	906	190	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_002176_002419_group.png
3184	3415	971	42	1094	178	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_003184_003415_group.png
3418	5333	51	75	1097	515	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_003418_005333_group.png
5336	5682	78	273	458	532	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005336_005682_group.png
5687	5711	59	322	150	367	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005687_005711_group.png
5713	5729	42	349	68	395	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005713_005729_group.png
5835	5857	271	335	338	354	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005835_005857_group.png
5858	5863	340	341	351	353	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005858_005863_group.png
5864	5867	355	342	364	349	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005864_005867_group.png
5868	5873	365	330	374	349	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005868_005873_group.png
5883	5907	398	324	412	345	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005883_005907_group.png
5938	5997	37	340	177	417	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_005938_005997_group.png
6285	6307	290	398	365	439	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_006285_006307_group.png
6327	6356	146	347	165	379	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_006327_006356_group.png
6380	6385	279	398	297	446	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_006380_006385_group.png
6388	6392	374	395	388	438	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate//lines/obj_006388_006392_group.png
