start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
67	130	61	76	189	208	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_000067_000130_group.png
213	308	114	67	171	223	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_000213_000308_group.png
315	709	48	73	292	242	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_000315_000709_group.png
754	1150	114	68	431	226	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_000754_001150_group.png
1213	1592	98	59	615	180	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_001213_001592_group.png
1597	2271	547	56	875	186	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_001597_002271_group.png
2273	2419	752	52	906	190	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_002273_002419_group.png
3184	3473	971	42	1097	178	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_003184_003473_group.png
3515	3755	1014	88	1096	192	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_003515_003755_group.png
4133	4685	51	335	219	515	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_004133_004685_group.png
4705	4835	73	354	209	512	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_004705_004835_group.png
4839	4936	116	341	180	507	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_004839_004936_group.png
5053	5239	133	296	230	422	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_005053_005239_group.png
5274	5711	59	273	458	532	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_005274_005711_group.png
5713	5907	42	324	412	395	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_005713_005907_group.png
5938	5997	37	340	177	417	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_005938_005997_group.png
6285	6512	146	347	434	532	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_006285_006512_group.png
6515	6831	110	405	479	607	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_006515_006831_group.png
6915	7105	115	378	656	493	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_006915_007105_group.png
7206	7309	238	189	716	411	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_007206_007309_group.png
7389	7479	257	229	423	274	../SampleVideos/more/khan1/khan1_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_007389_007479_group.png
