start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	1151	703	1275	716	obj_000000_000000.png
7	128	82	38	378	297	obj_000007_000128.png
133	438	126	70	355	215	obj_000133_000438.png
490	1098	113	46	757	256	obj_000490_001098.png
1115	1233	502	133	537	219	obj_001115_001233.png
1240	1983	539	50	1226	187	obj_001240_001983.png
1991	2058	838	88	1059	97	obj_001991_002058.png
2078	2284	61	321	101	419	obj_002078_002284.png
2428	2689	100	340	238	396	obj_002428_002689.png
2966	3530	115	48	358	312	obj_002966_003530.png
3579	3633	130	175	149	198	obj_003579_003633.png
3637	3753	129	152	346	215	obj_003637_003753.png
3777	3950	131	78	346	164	obj_003777_003950.png
4002	4144	273	314	342	414	obj_004002_004144.png
4153	4466	345	338	562	389	obj_004153_004466.png
4483	4691	261	221	565	477	obj_004483_004691.png
4700	4707	1	195	4	229	obj_004700_004707.png
4732	4975	592	291	671	405	obj_004732_004975.png
4993	5539	204	52	881	456	obj_004993_005539.png
5548	5824	131	276	699	604	obj_005548_005824.png
5845	5943	210	525	379	572	obj_005845_005943.png
5947	6066	392	513	598	562	obj_005947_006066.png
6082	6518	192	507	687	564	obj_006082_006518.png
6536	6874	710	459	1184	577	obj_006536_006874.png
6896	7150	865	492	1159	548	obj_006896_007150.png
7166	7324	818	515	832	519	obj_007166_007324.png
7509	7582	39	726	52	739	obj_007509_007582.png
7583	7668	82	652	150	794	obj_007583_007668.png
7708	8088	171	655	412	789	obj_007708_008088.png
8094	8103	1	498	4	532	obj_008094_008103.png
8109	8183	447	696	481	728	obj_008109_008183.png
8218	8284	865	496	1160	546	obj_008218_008284.png
8518	8765	558	620	966	773	obj_008518_008765.png
8813	9395	166	615	873	825	obj_008813_009395.png
9403	9740	334	591	871	688	obj_009403_009740.png
10265	10593	747	182	1146	744	obj_010265_010593.png
10596	10883	940	225	1101	328	obj_010596_010883.png
10887	11089	986	289	1104	378	obj_010887_011089.png
11563	11601	221	121	248	164	obj_011563_011601.png
12686	12847	487	702	697	903	obj_012686_012847.png
