start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry
8	127	0	32	377	291
133	438	125	64	354	209
491	1098	112	40	756	250
1116	1233	413	119	536	213
1241	1477	538	44	1062	181
1479	1983	867	45	1225	164
1992	2058	837	82	1058	91
2079	2283	60	315	100	413
2434	2688	99	334	237	390
2967	3235	117	132	357	306
3236	3529	124	42	306	266
3579	3626	129	169	148	192
3638	3753	128	146	345	209
3778	3949	130	72	345	158
4003	4143	272	308	341	408
4153	4466	344	332	561	383
4483	4690	260	215	564	471
4703	4704	0	190	2	222
4722	4729	0	189	3	223
4732	4974	591	285	670	399
4996	5538	203	46	880	450
5548	5823	130	270	698	598
5847	5943	209	519	378	566
5948	6065	391	507	597	556
6098	6468	191	501	686	558
6537	6873	709	453	1183	571
6897	6935	1029	487	1071	522
6937	7149	864	486	1158	542
7166	7323	817	509	831	513
7510	7581	38	418	51	431
7584	7668	81	344	149	486
7708	8088	170	347	411	481
8095	8103	0	190	3	224
8111	8182	446	388	480	420
8218	8283	864	198	1159	238
8518	8764	557	312	965	465
8813	9394	165	307	872	517
9403	9739	343	283	870	371
10266	10444	746	534	831	651
10445	10593	895	89	1145	337
10629	10722	939	132	1100	235
10903	11089	985	196	1103	285
11564	11600	220	43	247	86
12088	12145	509	561	551	630
12687	12846	486	352	686	553
