start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
8	127	80	31	377	290	obj_000008_000127.png
133	438	125	63	354	208	obj_000133_000438.png
491	1098	112	20	756	249	obj_000491_001098.png
1116	1233	502	117	536	212	obj_001116_001233.png
1241	1477	538	43	1062	180	obj_001241_001477.png
1479	1983	867	94	1225	163	obj_001479_001983.png
1992	2058	837	81	1058	90	obj_001992_002058.png
2079	2283	60	309	100	412	obj_002079_002283.png
2434	2688	99	333	237	390	obj_002434_002688.png
2967	3235	116	132	357	305	obj_002967_003235.png
3236	3529	238	40	306	215	obj_003236_003529.png
3579	3626	129	168	148	191	obj_003579_003626.png
3638	3753	128	146	344	208	obj_003638_003753.png
3778	3949	130	67	345	157	obj_003778_003949.png
4003	4143	272	307	341	407	obj_004003_004143.png
4153	4466	344	331	561	382	obj_004153_004466.png
4483	4690	260	214	564	469	obj_004483_004690.png
4732	4974	591	284	670	398	obj_004732_004974.png
4996	5538	203	45	880	449	obj_004996_005538.png
5548	5823	130	269	698	597	obj_005548_005823.png
5847	5943	209	518	378	565	obj_005847_005943.png
5948	6065	391	506	597	555	obj_005948_006065.png
6098	6468	191	500	686	557	obj_006098_006468.png
6537	6873	709	452	1183	570	obj_006537_006873.png
6897	6935	1029	486	1071	521	obj_006897_006935.png
6937	7149	864	485	1158	541	obj_006937_007149.png
7166	7323	817	508	831	512	obj_007166_007323.png
7510	7581	38	412	66	430	obj_007510_007581.png
7584	7668	81	343	149	485	obj_007584_007668.png
7708	8088	170	346	411	480	obj_007708_008088.png
8111	8182	444	387	480	419	obj_008111_008182.png
8218	8283	864	187	1159	237	obj_008218_008283.png
8518	8764	557	311	965	464	obj_008518_008764.png
8813	9394	165	306	872	516	obj_008813_009394.png
9403	9739	699	282	870	318	obj_009403_009739.png
10266	10444	745	533	831	650	obj_010266_010444.png
10445	10593	895	88	1145	336	obj_010445_010593.png
10629	10722	931	130	1100	240	obj_010629_010722.png
10903	11089	985	195	1103	284	obj_010903_011089.png
11564	11600	220	42	247	85	obj_011564_011600.png
12088	12145	509	560	551	629	obj_012088_012145.png
12687	12846	486	351	638	552	obj_012687_012846.png
