start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry
8	127	0	32	1194	706
133	438	93	64	369	285
491	1098	112	21	756	250
1116	1233	322	119	536	213
1241	1477	316	43	1062	181
1479	1983	316	45	1225	165
1992	2058	836	82	1059	92
2079	2283	60	176	268	414
2304	2405	72	318	78	342
2413	2417	76	65	914	330
2434	2688	80	248	238	391
2709	2929	31	157	38	161
2967	3235	17	104	358	307
3236	3529	118	41	319	285
3537	3550	118	266	130	285
3579	3626	112	160	155	192
3628	3633	112	160	144	184
3638	3753	127	65	914	209
3778	3949	30	33	914	159
4003	4143	271	65	914	409
4153	4466	88	146	561	384
4467	4473	188	200	189	207
4483	4690	165	96	565	471
4692	4698	174	96	236	167
4703	4704	0	189	3	223
4722	4729	0	189	3	223
4732	4974	188	192	670	400
4978	4983	187	192	189	202
4996	5538	203	46	881	450
5548	5823	129	270	699	599
5847	5943	208	518	379	567
5948	6065	390	507	598	556
6098	6468	134	501	686	559
6471	6517	133	506	401	536
6537	6873	708	453	1184	571
6897	6935	1028	486	1072	523
6937	7149	371	364	1159	543
7153	7159	898	525	947	533
7166	7323	817	508	831	513
7344	7384	60	0	1225	599
7510	7581	37	314	62	432
7584	7668	81	344	150	486
7708	8088	169	346	413	483
8095	8103	0	190	3	224
8111	8182	94	148	480	421
8188	8193	412	148	413	149
8218	8283	461	198	1159	410
8323	8440	202	198	982	436
8518	8764	136	312	965	465
8813	9394	164	256	873	518
9403	9739	178	256	871	385
9742	10158	320	356	353	385
10165	10190	37	0	1225	719
10191	10204	536	107	624	613
10258	10263	299	146	743	322
10266	10444	745	35	1122	651
10445	10593	894	89	1145	338
10599	10627	572	322	813	619
10629	10722	247	130	1101	626
10723	10881	751	376	948	659
10888	10901	93	167	768	659
10903	11089	93	167	1103	285
11097	11301	37	0	1225	719
11308	11481	37	0	1225	719
11483	11510	800	544	823	572
11518	11543	37	0	1225	719
11564	11600	219	1	910	244
11608	11750	37	0	1225	719
11753	11839	67	167	643	393
11847	12079	37	0	1225	719
12088	12145	508	486	719	631
12146	12204	37	0	1225	719
12207	12678	37	0	1225	719
12687	12846	346	352	687	573
12862	12951	37	0	1225	719
12954	12966	406	219	650	384
