start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
33	50	91	64	96	269	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000033_000050.png
53	61	82	54	104	67	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000053_000061.png
63	70	94	38	112	61	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000063_000070.png
87	105	98	266	323	275	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000087_000105.png
106	112	329	267	340	279	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000106_000112.png
115	116	357	282	357	282	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000115_000116.png
117	122	358	278	378	296	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000117_000122.png
170	246	126	75	345	215	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000170_000246.png
273	283	141	186	184	205	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000273_000283.png
287	292	188	195	202	202	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000287_000292.png
294	300	194	201	203	210	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000294_000300.png
302	314	231	196	247	213	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000302_000314.png
316	326	288	198	307	213	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000316_000326.png
333	358	277	75	343	135	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000333_000358.png
364	366	185	88	195	107	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000364_000366.png
367	370	186	101	206	108	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000367_000370.png
389	394	136	129	155	150	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000389_000394.png
412	422	335	70	355	93	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000412_000422.png
514	518	497	67	502	100	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000514_000518.png
519	523	494	66	511	79	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000519_000523.png
526	530	487	57	510	64	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000526_000530.png
531	542	520	58	548	82	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000531_000542.png
543	556	537	65	576	102	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000543_000556.png
557	566	574	61	608	84	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000557_000566.png
652	665	632	46	657	75	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000652_000665.png
674	677	664	46	677	76	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000674_000677.png
678	682	678	58	688	73	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000678_000682.png
683	701	680	51	730	92	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000683_000701.png
708	717	739	52	757	74	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000708_000717.png
718	721	745	51	753	56	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000718_000721.png
792	798	115	250	153	254	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000792_000798.png
799	803	143	247	154	256	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000799_000803.png
806	811	141	233	169	239	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000806_000811.png
812	813	162	239	166	242	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000812_000813.png
817	827	217	243	245	252	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000817_000827.png
829	831	297	240	324	242	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000829_000831.png
832	836	316	238	331	250	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000832_000836.png
839	842	343	218	364	220	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000839_000842.png
843	848	357	213	370	223	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000843_000848.png
852	863	195	220	235	231	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000852_000863.png
871	883	113	191	138	201	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000871_000883.png
906	925	115	67	228	109	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000906_000925.png
926	929	206	64	215	74	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000926_000929.png
935	937	140	73	162	75	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000935_000937.png
938	944	139	70	150	79	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000938_000944.png
950	959	239	146	265	157	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000950_000959.png
963	973	159	168	192	175	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000963_000973.png
983	992	266	121	295	133	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000983_000992.png
996	998	225	113	247	116	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000996_000998.png
999	1005	243	110	253	120	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_000999_001005.png
1008	1016	365	159	391	166	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_001008_001016.png
1020	1023	357	99	378	104	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_001020_001023.png
1024	1029	349	100	367	111	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_001024_001029.png
1033	1039	300	57	330	65	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_001033_001039.png
1040	1041	321	63	327	63	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_001040_001041.png
1130	1146	506	133	520	200	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_001130_001146.png
1151	1153	511	159	511	168	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_001151_001153.png
1156	1167	502	156	524	180	../SampleVideos/more/khan2/khan2_removelogo_fgpixel_objs_noseg//cleanup/obj_001156_001167.png
