start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
20	28	132	74	144	107	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000020_000028_001.png
29	32	124	112	154	118	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000029_000032_001.png
35	46	123	136	136	161	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000035_000046_001.png
35	46	141	139	155	157	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000035_000046_002.png
53	64	180	82	198	83	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000053_000064_001.png
53	64	179	86	200	151	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000053_000064_002.png
77	94	276	72	289	83	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000077_000094_001.png
77	94	249	85	275	107	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000077_000094_002.png
95	100	294	71	304	82	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000095_000100_001.png
95	100	305	74	306	74	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000095_000100_002.png
102	104	314	64	317	79	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000102_000104_001.png
105	137	241	115	302	120	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000105_000137_001.png
105	137	290	135	293	148	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000105_000137_002.png
105	137	246	136	262	149	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000105_000137_003.png
105	137	270	136	284	149	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000105_000137_004.png
143	150	343	107	352	123	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000143_000150_001.png
154	162	382	99	406	122	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000154_000162_001.png
167	172	408	67	426	70	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000167_000172_001.png
167	172	427	67	431	68	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000167_000172_002.png
175	184	410	70	442	151	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000175_000184_001.png
264	269	174	215	189	230	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000264_000269_001.png
270	279	204	211	220	231	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000270_000279_001.png
284	292	259	211	263	229	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs/obj_000284_000292_001.png
