start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
20	46	123	74	155	161	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000020_000046_group.png
53	64	179	82	200	151	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000053_000064_group.png
77	137	241	64	316	149	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000077_000137_group.png
143	162	343	99	406	123	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000143_000162_group.png
167	184	408	67	442	151	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000167_000184_group.png
262	279	174	211	220	231	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000262_000279_group.png
284	292	237	211	263	229	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000284_000292_group.png
403	411	481	98	488	106	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000403_000411_group.png
518	536	264	61	325	90	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000518_000536_group.png
547	574	234	74	264	96	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000547_000574_group.png
585	619	528	80	616	115	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000585_000619_group.png
659	669	639	82	652	98	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000659_000669_group.png
761	775	628	81	653	105	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000761_000775_group.png
860	868	663	61	679	73	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000860_000868_group.png
890	902	236	123	304	160	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000890_000902_group.png
921	955	536	112	622	148	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000921_000955_group.png
1092	1098	709	99	721	112	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001092_001098_group.png
1105	1112	765	89	796	109	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001105_001112_group.png
1229	1252	556	53	591	146	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001229_001252_group.png
1260	1265	849	97	861	104	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001260_001265_group.png
1289	1315	905	69	951	114	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001289_001315_group.png
1524	1535	161	284	173	381	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001524_001535_group.png
1589	1608	194	301	233	341	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001589_001608_group.png
1647	1667	252	306	298	338	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001647_001667_group.png
1842	1879	166	433	248	459	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001842_001879_group.png
1885	1923	275	424	382	466	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001885_001923_group.png
2200	2204	374	315	388	324	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002200_002204_group.png
2213	2241	449	260	518	302	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002213_002241_group.png
2247	2280	438	309	551	340	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002247_002280_group.png
2288	2299	585	296	614	319	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002288_002299_group.png
2495	2531	430	365	530	445	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002495_002531_group.png
2542	2545	547	426	558	429	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002542_002545_group.png
2569	2578	569	412	581	432	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002569_002578_group.png
2784	2794	747	192	758	243	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002784_002794_group.png
2820	2860	778	189	863	232	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002820_002860_group.png
2934	2965	214	297	240	323	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002934_002965_group.png
3000	3007	905	206	917	215	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003000_003007_group.png
3017	3056	975	151	1045	210	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003017_003056_group.png
3149	3177	960	217	1021	247	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003149_003177_group.png
3184	3190	1066	204	1083	216	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003184_003190_group.png
3239	3249	1120	184	1147	211	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003239_003249_group.png
3270	3274	914	310	928	318	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003270_003274_group.png
3285	3299	971	287	1011	317	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003285_003299_group.png
