start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
20	28	132	74	144	106	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000020_000028.png
29	32	124	112	154	118	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000029_000032.png
35	46	123	136	155	161	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000035_000046.png
53	64	179	82	200	151	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000053_000064.png
77	94	249	72	289	107	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000077_000094.png
95	100	294	71	306	82	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000095_000100.png
102	104	314	64	316	79	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000102_000104.png
105	137	241	115	302	149	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000105_000137.png
143	150	343	107	352	123	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000143_000150.png
154	162	382	99	406	122	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000154_000162.png
167	172	408	67	431	70	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000167_000172.png
173	174	427	68	428	68	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000173_000174.png
175	184	411	70	442	151	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000175_000184.png
262	269	174	215	189	229	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000262_000269.png
270	279	204	211	220	231	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000270_000279.png
284	292	237	211	263	229	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000284_000292.png
403	411	481	98	488	106	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000403_000411.png
518	536	264	61	325	90	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000518_000536.png
547	562	238	74	264	94	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000547_000562.png
564	574	234	90	246	96	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000564_000574.png
585	593	540	96	556	107	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000585_000593.png
594	619	528	80	616	115	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000594_000619.png
659	664	640	84	648	98	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000659_000664.png
665	669	639	82	652	98	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000665_000669.png
761	767	628	81	650	100	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000761_000767.png
768	775	631	81	653	105	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000768_000775.png
860	868	663	61	679	73	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000860_000868.png
890	902	236	123	304	160	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000890_000902.png
921	922	540	122	544	122	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000921_000922.png
923	927	536	112	622	123	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000923_000927.png
928	941	542	134	563	148	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000928_000941.png
942	945	574	133	578	144	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000942_000945.png
946	955	569	125	609	142	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_000946_000955.png
1092	1095	709	99	714	112	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001092_001095.png
1096	1098	709	104	721	106	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001096_001098.png
1105	1112	765	89	796	109	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001105_001112.png
1176	1203	568	140	569	141	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001176_001203.png
1229	1242	556	56	587	146	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001229_001242.png
1243	1252	582	53	591	77	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001243_001252.png
1260	1265	849	97	861	104	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001260_001265.png
1289	1315	905	69	951	114	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001289_001315.png
1524	1535	161	284	173	381	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001524_001535.png
1589	1608	194	301	233	341	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001589_001608.png
1611	1612	233	310	233	310	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001611_001612.png
1647	1648	261	320	265	325	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001647_001648.png
1649	1667	252	306	298	338	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001649_001667.png
1827	1837	156	389	298	410	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001827_001837.png
1842	1851	166	442	190	458	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001842_001851.png
1855	1870	200	433	239	459	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001855_001870.png
1871	1879	168	436	248	455	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001871_001879.png
1885	1887	275	446	277	456	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001885_001887.png
1888	1892	282	446	296	457	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001888_001892.png
1893	1923	289	424	382	466	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_001893_001923.png
2200	2204	374	315	388	324	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002200_002204.png
2213	2234	449	267	497	302	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002213_002234.png
2235	2241	493	260	518	278	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002235_002241.png
2247	2251	438	313	499	316	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002247_002251.png
2254	2260	446	329	462	340	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002254_002260.png
2262	2263	469	328	473	338	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002262_002263.png
2265	2267	467	333	480	334	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002265_002267.png
2268	2271	489	326	493	338	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002268_002271.png
2275	2280	537	309	551	322	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002275_002280.png
2288	2289	599	296	600	300	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002288_002289.png
2291	2299	585	296	614	319	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002291_002299.png
2323	2331	129	259	134	397	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002323_002331.png
2336	2337	132	358	133	367	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002336_002337.png
2350	2353	134	254	188	257	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002350_002353.png
2356	2374	159	241	533	257	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002356_002374.png
2375	2384	497	241	619	243	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002375_002384.png
2385	2389	504	271	504	271	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002385_002389.png
2397	2410	633	248	641	366	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002397_002410.png
2433	2462	137	373	633	400	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002433_002462.png
2495	2504	431	368	466	415	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002495_002504.png
2505	2510	430	365	442	392	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002505_002510.png
2513	2515	483	424	487	435	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002513_002515.png
2516	2524	486	422	528	439	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002516_002524.png
2525	2531	510	422	530	445	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002525_002531.png
2542	2545	547	426	558	429	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002542_002545.png
2569	2576	569	412	574	430	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002569_002576.png
2577	2578	570	429	581	432	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002577_002578.png
2784	2794	747	192	758	243	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002784_002794.png
2820	2829	778	209	797	232	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002820_002829.png
2833	2836	810	189	818	192	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002833_002836.png
2837	2845	804	192	815	205	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002837_002845.png
2848	2860	829	204	863	229	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002848_002860.png
2934	2965	214	297	240	323	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_002934_002965.png
3000	3007	905	206	917	215	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003000_003007.png
3017	3031	975	185	1000	210	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003017_003031.png
3032	3035	1012	156	1021	157	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003032_003035.png
3036	3042	1006	157	1019	170	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003036_003042.png
3043	3056	1024	151	1045	166	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003043_003056.png
3149	3151	960	217	1021	223	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003149_003151.png
3152	3155	990	220	992	221	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003152_003155.png
3157	3160	967	232	980	234	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003157_003160.png
3161	3173	963	232	999	247	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003161_003173.png
3174	3177	1010	231	1013	246	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003174_003177.png
3184	3190	1066	204	1083	216	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003184_003190.png
3239	3249	1120	184	1147	211	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003239_003249.png
3270	3274	914	310	928	318	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003270_003274.png
3285	3295	971	299	991	317	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003285_003295.png
3296	3299	1000	287	1011	300	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003296_003299.png
3304	3307	969	325	1006	330	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003304_003307.png
3314	3319	982	342	998	359	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003314_003319.png
3328	3331	1041	322	1043	336	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003328_003331.png
3332	3334	1038	328	1052	331	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003332_003334.png
3339	3347	1084	304	1111	327	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003339_003347.png
3514	3524	747	431	758	496	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003514_003524.png
3580	3584	780	445	792	448	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003580_003584.png
3585	3593	775	448	793	472	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003585_003593.png
3609	3613	812	451	830	469	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003609_003613.png
3615	3625	812	452	834	473	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003615_003625.png
3630	3633	841	437	849	438	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003630_003633.png
3635	3643	855	427	867	441	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003635_003643.png
3663	3670	876	448	889	469	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003663_003670.png
3671	3679	891	451	913	470	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003671_003679.png
3848	3874	754	494	755	495	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003848_003874.png
3885	3891	951	445	964	454	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003885_003891.png
3897	3908	1001	437	1024	461	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003897_003908.png
3913	3923	1043	417	1059	474	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003913_003923.png
3942	3951	1081	434	1100	456	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003942_003951.png
3953	3956	1109	425	1117	427	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003953_003956.png
3958	3963	1124	418	1135	429	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003958_003963.png
3974	3981	1148	427	1164	450	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003974_003981.png
3982	3992	1164	430	1189	450	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_003982_003992.png
4061	4063	869	555	879	557	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004061_004063.png
4064	4066	870	561	883	563	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004064_004066.png
4069	4081	904	540	924	566	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004069_004081.png
4083	4088	945	516	969	580	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004083_004088.png
4105	4109	1001	517	1023	538	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004105_004109.png
4111	4114	1008	517	1025	538	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004111_004114.png
4115	4119	1039	498	1046	499	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004115_004119.png
4121	4126	1049	492	1061	504	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004121_004126.png
4157	4160	1077	492	1078	501	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004157_004160.png
4161	4163	1073	496	1087	499	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004161_004163.png
4164	4169	1095	489	1098	502	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004164_004169.png
4184	4187	990	547	1057	554	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004184_004187.png
4193	4196	990	575	1001	577	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004193_004196.png
4197	4202	1006	568	1018	583	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004197_004202.png
4203	4208	1023	570	1035	579	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004203_004208.png
4210	4213	1040	567	1042	580	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004210_004213.png
4224	4231	1108	534	1126	547	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004224_004231.png
4260	4267	1178	518	1202	544	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004260_004267.png
4273	4277	1201	497	1221	551	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004273_004277.png
4316	4322	881	652	896	660	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004316_004322.png
4327	4337	916	647	935	673	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004327_004337.png
4338	4345	950	636	967	683	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004338_004345.png
4388	4401	997	619	1035	650	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004388_004401.png
4403	4405	1039	613	1042	628	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004403_004405.png
4414	4419	994	657	1045	664	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004414_004419.png
4446	4453	1000	673	1018	690	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004446_004453.png
4459	4465	1075	649	1093	664	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004459_004465.png
4466	4473	1111	640	1131	660	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004466_004473.png
4477	4481	1144	609	1159	658	../SampleVideos/more/khan3/khan3_removelogo_fgpixel_objs_noseg/cleanup/obj_004477_004481.png
