start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	138	65	387	173	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000000_000000_group.png
24	35	91	84	116	115	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000024_000035_group.png
38	61	96	121	127	147	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000038_000061_group.png
132	139	160	173	177	181	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000132_000139_group.png
144	156	148	147	181	181	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000144_000156_group.png
525	534	121	314	137	388	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000525_000534_group.png
543	550	142	391	158	403	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000543_000550_group.png
559	565	140	296	153	320	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000559_000565_group.png
574	582	160	331	176	370	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000574_000582_group.png
597	601	184	336	197	370	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000597_000601_group.png
604	632	202	337	274	365	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000604_000632_group.png
636	647	296	345	310	353	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000636_000647_group.png
656	677	343	318	370	369	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000656_000677_group.png
695	718	377	326	452	360	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000695_000718_group.png
722	734	467	312	489	351	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000722_000734_group.png
740	747	495	318	510	353	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000740_000747_group.png
751	764	517	319	554	353	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000751_000764_group.png
980	983	84	485	100	487	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000980_000983_group.png
989	1000	117	448	134	513	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_000989_001000_group.png
1002	1009	142	517	156	528	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001002_001009_group.png
1013	1022	142	431	159	454	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001013_001022_group.png
1025	1066	165	460	279	497	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001025_001066_group.png
1074	1081	289	470	311	480	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001074_001081_group.png
1083	1085	330	475	344	477	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001083_001085_group.png
1104	1107	361	445	377	494	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001104_001107_group.png
1121	1150	389	451	473	490	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001121_001150_group.png
1152	1153	483	474	495	477	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001152_001153_group.png
1160	1169	513	453	534	482	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001160_001169_group.png
1171	1202	541	431	647	478	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001171_001202_group.png
1210	1244	673	438	791	490	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001210_001244_group.png
1248	1279	818	433	908	469	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001248_001279_group.png
1351	1357	935	445	946	451	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001351_001357_group.png
1364	1376	966	398	983	477	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001364_001376_group.png
1431	1441	992	470	1004	492	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001431_001441_group.png
1447	1458	975	389	996	401	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001447_001458_group.png
1469	1494	996	424	1059	461	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001469_001494_group.png
1500	1506	1073	432	1085	452	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001500_001506_group.png
1508	1517	1088	423	1109	445	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001508_001517_group.png
1711	1717	413	69	495	104	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001711_001717_group.png
1722	1734	465	109	492	130	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001722_001734_group.png
1736	1741	487	112	497	130	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001736_001741_group.png
1814	1818	520	91	536	96	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001814_001818_group.png
1824	1837	556	63	572	131	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001824_001837_group.png
1884	1887	574	59	581	69	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001884_001887_group.png
1889	1891	576	58	585	70	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001889_001891_group.png
1938	1948	580	131	592	147	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001938_001948_group.png
1955	1964	588	75	613	115	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001955_001964_group.png
1967	1977	606	66	690	97	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001967_001977_group.png
1980	1985	622	85	627	113	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001980_001985_group.png
1987	2012	631	84	686	106	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive1/obj_001987_002012_group.png
