start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	139	65	388	173	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000000_000000.png
24	35	92	84	117	115	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000024_000035.png
38	61	97	121	128	147	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000038_000061.png
132	139	161	173	178	181	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000132_000139.png
144	156	149	147	182	181	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000144_000156.png
525	534	122	314	138	388	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000525_000534.png
543	550	143	390	159	404	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000543_000550.png
559	565	141	296	154	320	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000559_000565.png
574	582	161	331	177	370	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000574_000582.png
597	601	184	336	198	370	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000597_000601.png
604	617	203	340	230	365	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000604_000617.png
618	629	240	337	272	361	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000618_000629.png
630	632	264	347	276	360	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000630_000632.png
636	640	297	344	308	346	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000636_000640.png
641	647	300	350	311	353	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000641_000647.png
656	661	344	318	352	369	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000656_000661.png
662	677	344	319	371	342	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000662_000677.png
695	698	377	325	394	360	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000695_000698.png
699	718	395	331	453	358	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000699_000718.png
722	734	468	312	490	351	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000722_000734.png
740	747	496	318	511	353	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000740_000747.png
751	764	518	318	555	353	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000751_000764.png
980	983	85	484	101	487	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000980_000983.png
989	1000	118	448	135	513	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_000989_001000.png
1002	1009	143	517	157	528	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001002_001009.png
1013	1022	143	430	160	454	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001013_001022.png
1025	1029	172	460	183	497	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001025_001029.png
1030	1066	166	467	280	494	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001030_001066.png
1074	1081	290	470	312	480	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001074_001081.png
1083	1085	331	475	346	477	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001083_001085.png
1104	1107	362	445	378	494	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001104_001107.png
1121	1132	390	456	411	488	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001121_001132.png
1133	1141	418	451	444	487	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001133_001141.png
1142	1150	441	456	474	490	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001142_001150.png
1152	1153	484	474	496	477	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001152_001153.png
1160	1169	513	452	535	482	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001160_001169.png
1171	1193	541	431	623	479	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001171_001193.png
1194	1202	637	453	648	464	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001194_001202.png
1210	1222	674	438	701	490	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001210_001222.png
1223	1227	710	448	725	474	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001223_001227.png
1228	1240	725	449	763	476	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001228_001240.png
1241	1244	778	460	792	463	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001241_001244.png
1248	1264	819	433	868	469	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001248_001264.png
1265	1279	875	436	909	467	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001265_001279.png
1351	1357	936	445	948	451	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001351_001357.png
1364	1376	966	398	984	477	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001364_001376.png
1431	1441	993	470	1005	492	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001431_001441.png
1447	1458	976	388	998	401	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001447_001458.png
1469	1477	997	424	1015	461	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001469_001477.png
1478	1494	1015	429	1061	457	../SampleVideos/more/khan4/khan4_removelogo_fgpixel_objs_noseg/cleanup/obj_001478_001494.png
