start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
29	43	72	32	135	78	obj_000029_000043.png
44	64	137	59	189	81	obj_000044_000064.png
65	202	187	33	497	218	obj_000065_000202.png
203	211	71	22	258	216	obj_000203_000211.png
263	278	110	136	128	336	obj_000263_000278.png
279	301	107	125	129	319	obj_000279_000301.png
303	344	98	298	372	332	obj_000303_000344.png
349	362	283	308	391	395	obj_000349_000362.png
401	409	82	128	103	155	obj_000401_000409.png
433	445	8	128	113	243	obj_000433_000445.png
446	469	100	158	386	245	obj_000446_000469.png
471	518	82	126	476	167	obj_000471_000518.png
551	573	169	35	447	327	obj_000551_000573.png
580	596	176	299	193	345	obj_000580_000596.png
598	615	175	190	192	347	obj_000598_000615.png
630	637	211	49	497	84	obj_000630_000637.png
639	663	275	32	491	240	obj_000639_000663.png
681	696	278	210	292	315	obj_000681_000696.png
706	710	279	301	288	343	obj_000706_000710.png
713	726	279	319	294	361	obj_000713_000726.png
760	808	172	186	290	327	obj_000760_000808.png
823	838	168	184	193	239	obj_000823_000838.png
848	882	178	182	294	341	obj_000848_000882.png
922	928	143	68	294	341	obj_000922_000928.png
981	988	177	308	294	341	obj_000981_000988.png
1007	1015	83	201	294	341	obj_001007_001015.png
1045	1048	215	306	294	341	obj_001045_001048.png
1063	1070	114	262	245	327	obj_001063_001070.png
1087	1101	232	306	253	341	obj_001087_001101.png
1109	1150	176	196	251	320	obj_001109_001150.png
1154	1219	174	185	232	341	obj_001154_001219.png
1302	1311	174	339	236	361	obj_001302_001311.png
1353	1358	155	319	294	358	obj_001353_001358.png
1430	1463	41	260	294	341	obj_001430_001463.png
1465	1478	67	213	294	341	obj_001465_001478.png
1497	1520	163	319	294	345	obj_001497_001520.png
1567	1584	231	319	294	460	obj_001567_001584.png
1610	1622	247	319	294	482	obj_001610_001622.png
1651	1669	193	271	265	415	obj_001651_001669.png
1670	1675	194	269	294	341	obj_001670_001675.png
1701	1736	273	319	324	440	obj_001701_001736.png
1772	1830	279	319	367	449	obj_001772_001830.png
1845	1853	127	296	381	445	obj_001845_001853.png
1855	1896	383	419	543	448	obj_001855_001896.png
1906	1993	227	406	674	472	obj_001906_001993.png
1995	2004	231	424	250	471	obj_001995_002004.png
