start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
29	38	73	33	90	79	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000029_000038_group.png
46	123	138	47	368	76	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000046_000123_group.png
128	166	404	34	498	67	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000128_000166_group.png
267	289	115	127	130	337	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000267_000289_group.png
305	319	102	299	367	313	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000305_000319_group.png
351	358	377	309	389	331	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000351_000358_group.png
400	407	87	124	97	152	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000400_000407_group.png
449	461	104	159	387	229	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000449_000461_group.png
473	511	383	127	477	168	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000473_000511_group.png
553	564	417	36	448	66	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000553_000564_group.png
580	616	178	191	194	346	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000580_000616_group.png
642	647	453	33	489	65	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000642_000647_group.png
684	719	283	211	293	341	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000684_000719_group.png
762	800	173	187	181	309	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000762_000800_group.png
1077	1104	241	303	254	333	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001077_001104_group.png
1112	1113	241	313	252	325	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001112_001113_group.png
1127	1217	175	186	243	306	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001127_001217_group.png
1567	1576	233	393	246	461	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001567_001576_group.png
1611	1619	248	460	263	472	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001611_001619_group.png
1702	1729	249	384	325	441	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001702_001729_group.png
1772	1789	336	413	368	441	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001772_001789_group.png
1856	1893	385	420	519	448	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001856_001893_group.png
1905	1955	537	407	675	437	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001905_001955_group.png
2098	2104	199	421	208	429	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002098_002104_group.png
2153	2169	105	398	127	462	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002153_002169_group.png
2174	2197	131	408	181	451	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002174_002197_group.png
2548	2614	617	62	826	91	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002548_002614_group.png
2619	2631	862	72	867	80	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002619_002631_group.png
2655	2704	855	60	1031	90	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002655_002704_group.png
2807	2842	519	123	569	187	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002807_002842_group.png
2847	2852	587	151	598	159	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002847_002852_group.png
2903	2929	617	123	650	185	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002903_002929_group.png
3043	3061	668	113	811	211	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003043_003061_group.png
3066	3069	647	113	809	212	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003066_003069_group.png
3322	3346	833	124	939	162	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003322_003346_group.png
3402	3414	497	65	503	195	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003402_003414_group.png
3420	3428	1048	48	1056	180	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003420_003428_group.png
3446	3474	496	47	1006	61	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003446_003474_group.png
3483	3508	504	184	1051	212	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003483_003508_group.png
3760	3860	528	237	884	279	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003760_003860_group.png
3876	3992	922	208	1191	252	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003876_003992_group.png
4014	4019	499	251	507	257	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_004014_004019_group.png
4044	4051	502	317	512	323	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_004044_004051_group.png
4501	4552	551	306	710	331	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_004501_004552_group.png
4621	4705	738	293	1043	328	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_004621_004705_group.png
4747	4810	1061	285	1212	323	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_004747_004810_group.png
5212	5215	378	513	416	559	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005212_005215_group.png
5240	5252	380	576	414	601	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005240_005252_group.png
5259	5271	442	512	451	585	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005259_005271_group.png
5313	5329	454	584	474	602	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005313_005329_group.png
5346	5354	457	493	477	519	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005346_005354_group.png
5398	5428	499	515	577	546	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005398_005428_group.png
5433	5440	489	550	584	555	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005433_005440_group.png
5463	5473	510	560	545	585	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005463_005473_group.png
5486	5507	553	560	592	585	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005486_005507_group.png
5515	5536	603	548	651	580	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005515_005536_group.png
5544	5567	667	523	708	555	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005544_005567_group.png
5635	5638	421	493	438	592	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005635_005638_group.png
5649	5657	701	487	716	572	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005649_005657_group.png
5853	5860	745	532	755	540	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_005853_005860_group.png
