start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
29	38	73	33	90	79	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000029_000038_group.png
44	45	142	63	142	63	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000044_000045_group.png
46	166	138	34	498	76	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000046_000166_group.png
267	289	115	127	130	337	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000267_000289_group.png
305	358	102	299	389	331	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000305_000358_group.png
400	483	87	124	413	229	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000400_000483_group.png
484	511	406	127	477	156	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000484_000511_group.png
553	564	417	36	448	66	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000553_000564_group.png
580	616	178	191	194	346	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000580_000616_group.png
642	647	453	33	489	65	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000642_000647_group.png
684	719	283	211	293	341	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000684_000719_group.png
762	800	173	187	181	309	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_000762_000800_group.png
1077	1113	241	303	254	333	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001077_001113_group.png
1118	1119	243	264	243	264	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001118_001119_group.png
1127	1217	175	186	243	306	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001127_001217_group.png
1567	1576	233	393	246	461	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001567_001576_group.png
1611	1619	248	460	263	472	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001611_001619_group.png
1702	1789	249	384	368	441	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001702_001789_group.png
1856	1955	385	407	675	448	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_001856_001955_group.png
2098	2104	199	421	208	429	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002098_002104_group.png
2153	2197	105	398	181	462	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002153_002197_group.png
2548	2704	617	60	1031	91	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002548_002704_group.png
2760	2768	624	132	635	150	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002760_002768_group.png
2807	2929	519	123	650	187	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_002807_002929_group.png
3043	3061	668	113	811	211	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003043_003061_group.png
3066	3069	647	113	809	212	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003066_003069_group.png
3322	3346	833	124	939	162	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003322_003346_group.png
3402	3406	497	65	502	193	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003402_003406_group.png
3409	3414	501	189	503	195	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003409_003414_group.png
3420	3428	1048	48	1056	180	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003420_003428_group.png
3446	3474	496	47	1006	61	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003446_003474_group.png
3483	3508	504	184	1051	212	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003483_003508_group.png
3760	3992	528	208	1191	279	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_003760_003992_group.png
4014	4051	499	251	512	323	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_004014_004051_group.png
4501	4810	551	285	1212	331	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_004501_004810_group.png
5212	5252	378	513	416	601	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_005212_005252_group.png
5259	5261	448	512	451	519	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_005259_005261_group.png
5262	5507	442	493	592	602	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_005262_005507_group.png
5515	5567	603	523	708	580	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_005515_005567_group.png
5635	5638	421	493	438	592	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_005635_005638_group.png
5649	5657	701	487	716	572	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_005649_005657_group.png
5853	5860	745	532	755	540	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_005853_005860_group.png
6095	6121	800	489	899	521	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_006095_006121_group.png
6127	6133	782	533	912	538	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_006127_006133_group.png
6142	6202	783	534	971	584	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_006142_006202_group.png
6305	6313	474	521	488	582	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_006305_006313_group.png
6314	6319	650	533	654	565	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_006314_006319_group.png
6396	6404	990	499	1016	526	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_006396_006404_group.png
6802	6822	479	485	654	518	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_006802_006822_group.png
6826	6857	540	452	594	482	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_006826_006857_group.png
6864	6879	784	467	940	496	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_006864_006879_group.png
6883	6907	836	429	900	462	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_006883_006907_group.png
6947	6977	441	572	498	633	../SampleVideos/more/khan5/khan5_removelogo_fgpixel_objs_noseg/cleanup/negate//group/obj_006947_006977_group.png
