start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	141	31	149	43	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_001_001.png
0	0	128	48	142	67	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_002_001.png
0	0	119	56	133	165	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_003_001.png
0	0	234	76	253	100	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_004_001.png
0	0	163	79	204	106	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_005_001.png
0	0	33	86	51	134	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_006_001.png
0	0	207	88	223	104	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_007_001.png
0	0	57	90	67	127	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_008_001.png
0	0	76	92	76	92	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_009_001.png
0	0	77	93	77	93	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_010_001.png
0	0	78	94	89	136	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_010_002.png
0	0	312	94	323	127	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_011_001.png
0	0	291	101	303	125	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_012_001.png
0	0	65	105	79	119	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_013_001.png
0	0	99	108	107	110	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_014_001.png
0	0	157	111	272	121	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_015_001.png
0	0	99	118	108	119	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_016_001.png
0	0	207	129	224	155	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_017_001.png
0	0	134	163	151	181	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000000_000000_018_001.png
684	688	149	73	158	169	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000684_000688_001_001.png
698	713	271	67	284	156	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000698_000713_001_001.png
718	727	146	67	263	71	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000718_000727_001_001.png
732	741	177	166	284	169	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000732_000741_001_001.png
752	761	210	46	229	63	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000752_000761_001_001.png
763	772	232	25	246	53	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000763_000772_001_001.png
773	794	272	26	283	43	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs//cleanup/obj_000773_000794_001_001.png
