start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	141	31	149	43	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_001.png
0	0	128	48	142	67	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_002.png
0	0	119	56	133	165	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_003.png
0	0	234	76	253	100	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_004.png
0	0	163	79	204	106	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_005.png
0	0	33	86	51	134	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_006.png
0	0	207	88	223	104	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_007.png
0	0	57	90	67	127	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_008.png
0	0	76	92	76	92	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_009.png
0	0	77	93	89	136	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_010.png
0	0	312	94	323	127	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_011.png
0	0	291	101	303	125	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_012.png
0	0	65	105	79	119	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_013.png
0	0	99	108	107	110	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_014.png
0	0	157	111	272	121	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_015.png
0	0	99	118	108	119	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_016.png
0	0	207	129	224	155	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_017.png
0	0	134	163	151	181	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000000_000000_018.png
30	31	149	73	158	169	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000030_000031_001.png
35	41	271	67	284	156	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000035_000041_001.png
47	49	146	67	263	71	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000047_000049_001.png
47	49	149	82	151	87	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000047_000049_002.png
47	49	163	86	165	95	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000047_000049_003.png
118	130	177	166	284	169	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000118_000130_001.png
600	601	210	46	229	63	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000600_000601_001.png
684	688	232	25	246	53	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000684_000688_001.png
689	694	272	26	283	43	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000689_000694_001.png
689	694	251	28	260	44	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000689_000694_002.png
689	694	258	32	268	46	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000689_000694_003.png
695	697	85	270	98	434	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000695_000697_001.png
698	713	97	224	109	235	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000698_000713_001.png
698	713	75	238	90	250	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000698_000713_002.png
698	713	104	238	106	246	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000698_000713_003.png
698	713	83	252	86	269	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000698_000713_004.png
718	727	105	235	110	247	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000718_000727_001.png
732	741	86	421	297	427	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000732_000741_001.png
732	741	293	421	309	434	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000732_000741_002.png
752	761	331	426	339	444	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000752_000761_001.png
752	761	343	439	347	441	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000752_000761_002.png
763	772	339	439	345	448	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000763_000772_001.png
773	794	90	281	304	325	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000773_000794_001.png
796	798	325	286	339	317	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000796_000798_001.png
875	886	347	287	352	288	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000875_000886_001.png
875	886	349	291	356	294	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000875_000886_002.png
891	905	368	273	380	302	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000891_000905_001.png
907	908	385	274	393	301	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000907_000908_001.png
907	908	408	278	419	295	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000907_000908_002.png
907	908	397	282	407	300	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000907_000908_003.png
919	920	144	154	156	157	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000919_000920_001.png
919	920	143	157	143	157	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000919_000920_002.png
919	920	140	158	140	158	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000919_000920_003.png
919	920	156	158	159	159	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000919_000920_004.png
919	920	136	160	136	160	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000919_000920_005.png
919	920	124	160	163	189	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000919_000920_006.png
919	920	134	161	135	161	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000919_000920_007.png
919	920	133	162	133	162	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000919_000920_008.png
919	920	132	163	132	163	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000919_000920_009.png
919	920	130	164	131	165	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000919_000920_010.png
919	920	128	166	129	167	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000919_000920_011.png
928	941	126	418	127	420	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000928_000941_001.png
928	941	126	422	128	430	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000928_000941_002.png
942	944	127	443	137	454	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000942_000944_001.png
945	951	135	445	143	459	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000945_000951_001.png
952	954	125	403	125	407	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000952_000954_001.png
952	954	125	411	126	418	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000952_000954_002.png
959	970	112	20	165	81	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000959_000970_001.png
989	1006	266	313	266	317	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000989_001006_001.png
989	1006	265	330	266	337	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000989_001006_002.png
989	1006	266	345	269	374	../SampleVideos/more/khan6/khan6_removelogo_fgpixel_objs/obj_000989_001006_003.png
