start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	80	49	410	423	obj_000000_000000.png
120	576	115	45	630	227	obj_000120_000576.png
584	749	249	41	826	118	obj_000584_000749.png
811	1400	103	58	1007	223	obj_000811_001400.png
1416	1791	112	29	1146	311	obj_001416_001791.png
1806	1915	340	364	354	386	obj_001806_001915.png
1949	2088	330	368	417	390	obj_001949_002088.png
2104	2239	120	340	597	421	obj_002104_002239.png
2278	2395	217	326	827	425	obj_002278_002395.png
2407	2781	98	474	351	719	obj_002407_002781.png
2782	2928	860	354	877	374	obj_002782_002928.png
2935	2997	1149	46	1216	72	obj_002935_002997.png
3013	3061	1142	34	1146	83	obj_003013_003061.png
3096	3198	1131	30	1233	92	obj_003096_003198.png
3208	3321	926	325	969	378	obj_003208_003321.png
3333	3468	985	331	1134	374	obj_003333_003468.png
3476	3643	894	300	1232	398	obj_003476_003643.png
