start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	1	80	49	410	123	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_000000_000001_group.png
1	2	80	349	344	423	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_000001_000002_group.png
480	698	116	41	826	118	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_000480_000698_group.png
831	1283	103	154	413	223	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_000831_001283_group.png
1312	1359	864	58	1007	80	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_001312_001359_group.png
1431	1523	113	254	381	311	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_001431_001523_group.png
1569	1677	891	29	1143	100	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_001569_001677_group.png
1976	2380	120	326	827	425	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_001976_002380_group.png
2496	2573	98	474	341	549	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_002496_002573_group.png
2689	2779	101	579	351	658	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_002689_002779_group.png
2903	2905	865	354	877	364	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_002903_002905_group.png
2953	3146	1131	30	1233	92	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_002953_003146_group.png
3228	3603	894	300	1232	398	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//lines/obj_003228_003603_group.png
