start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	2	80	49	410	423	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000000_000002_group.png
0	698	80	41	826	123	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000000_000698_group.png
831	973	103	154	413	211	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000831_000973_group.png
831	1043	103	154	413	211	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000831_001043_group.png
831	1097	103	154	413	211	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000831_001097_group.png
831	1283	103	154	413	223	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000831_001283_group.png
0	1359	80	41	1007	123	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000000_001359_group.png
1431	1523	113	254	381	311	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_001431_001523_group.png
0	1613	80	41	1134	123	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000000_001613_group.png
0	1660	80	29	1143	123	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000000_001660_group.png
0	1677	80	29	1143	123	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000000_001677_group.png
1	1979	80	349	349	423	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000001_001979_group.png
1	2149	80	340	485	423	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000001_002149_group.png
1	2380	80	326	827	425	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000001_002380_group.png
2496	2573	98	474	341	549	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_002496_002573_group.png
2689	2779	101	579	351	658	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_002689_002779_group.png
1	2905	80	326	877	425	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000001_002905_group.png
0	2977	80	29	1216	123	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000000_002977_group.png
0	3125	80	29	1233	123	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000000_003125_group.png
0	3146	80	29	1233	123	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000000_003146_group.png
1	3256	80	325	969	425	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000001_003256_group.png
1	3400	80	325	1134	425	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000001_003400_group.png
1	3513	80	325	1221	425	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000001_003513_group.png
1	3538	80	320	1221	425	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000001_003538_group.png
1	3603	80	300	1232	425	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000001_003603_group.png
