start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	1	80	49	410	123	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000000_000001.png
1	2	80	349	344	423	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000001_000002.png
480	493	116	50	461	116	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000480_000493.png
495	508	493	45	509	106	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000495_000508.png
513	523	513	68	536	84	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000513_000523.png
524	535	531	55	560	81	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000524_000535.png
538	544	561	54	580	78	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000538_000544.png
548	552	595	58	610	77	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000548_000552.png
553	566	599	55	630	78	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000553_000566.png
596	614	249	41	358	118	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000596_000614.png
624	627	654	63	658	74	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000624_000627.png
628	633	650	68	665	70	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000628_000633.png
642	643	691	47	691	47	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000642_000643.png
644	662	682	43	755	102	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000644_000662.png
663	670	744	64	758	77	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000663_000670.png
674	680	768	56	784	76	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000674_000680.png
684	698	799	51	826	74	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000684_000698.png
831	837	115	155	127	176	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000831_000837.png
838	841	103	184	130	186	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000838_000841.png
843	845	106	195	113	211	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000843_000845.png
846	853	111	190	132	210	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000846_000853.png
864	868	140	164	153	197	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000864_000868.png
874	881	165	175	187	187	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000874_000881.png
882	895	192	167	230	186	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000882_000895.png
899	903	238	160	254	190	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000899_000903.png
904	907	267	173	279	174	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000904_000907.png
908	911	270	179	279	180	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000908_000911.png
920	923	305	172	316	173	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000920_000923.png
939	949	333	164	355	182	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000939_000949.png
950	962	347	154	383	180	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000950_000962.png
965	973	393	155	413	179	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_000965_000973.png
1036	1043	144	179	155	182	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001036_001043.png
1060	1066	151	196	151	196	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001060_001066.png
1096	1097	309	167	311	177	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001096_001097.png
1261	1274	213	196	338	223	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001261_001274.png
1276	1283	209	199	221	209	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001276_001283.png
1312	1314	865	62	874	63	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001312_001314.png
1315	1318	864	69	875	70	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001315_001318.png
1327	1329	907	68	916	69	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001327_001329.png
1332	1347	932	65	984	80	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001332_001347.png
1348	1359	986	58	1007	78	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001348_001359.png
1431	1437	122	254	133	276	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001431_001437.png
1439	1441	113	284	136	288	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001439_001441.png
1443	1448	117	296	125	311	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001443_001448.png
1449	1452	132	288	135	307	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001449_001452.png
1453	1456	135	297	143	307	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001453_001456.png
1457	1459	151	269	161	299	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001457_001459.png
1461	1480	170	267	213	295	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001461_001480.png
1481	1492	224	265	254	292	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001481_001492.png
1493	1499	275	273	287	282	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001493_001499.png
1502	1516	313	266	358	284	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001502_001516.png
1517	1523	365	260	381	283	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001517_001523.png
1569	1576	1027	61	1039	75	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001569_001576.png
1579	1603	1061	54	1103	75	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001579_001603.png
1604	1607	1117	53	1129	71	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001604_001607.png
1609	1613	1112	59	1134	70	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001609_001613.png
1630	1660	891	29	1143	90	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001630_001660.png
1667	1677	914	94	1129	100	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001667_001677.png
1976	1979	330	377	349	390	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_001976_001979.png
2070	2073	405	368	417	371	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002070_002073.png
2074	2077	404	378	416	380	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002074_002077.png
2140	2149	473	340	485	405	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002140_002149.png
2179	2184	505	369	522	386	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002179_002184.png
2189	2195	522	347	537	357	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002189_002195.png
2201	2206	553	361	564	386	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002201_002206.png
2207	2236	120	346	597	421	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002207_002236.png
2295	2302	217	345	297	425	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002295_002302.png
2310	2314	639	361	655	373	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002310_002314.png
2320	2329	694	326	709	407	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002320_002329.png
2343	2346	737	328	743	349	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002343_002346.png
2347	2350	726	349	756	354	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002347_002350.png
2352	2358	738	363	756	378	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002352_002358.png
2363	2370	788	344	800	372	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002363_002370.png
2372	2380	808	354	827	369	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002372_002380.png
2496	2509	98	481	133	549	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002496_002509.png
2511	2522	144	497	164	536	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002511_002522.png
2525	2530	176	511	193	527	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002525_002530.png
2532	2533	200	492	211	499	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002532_002533.png
2535	2538	204	493	215	503	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002535_002538.png
2539	2546	223	491	243	531	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002539_002546.png
2547	2551	255	505	264	513	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/obj_002547_002551.png
