start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	2	80	49	410	423	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000000_000002_group.png
480	698	116	41	826	118	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000480_000698_group.png
831	973	103	154	413	211	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000831_000973_group.png
1036	1043	144	179	155	182	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001036_001043_group.png
1096	1097	309	167	311	177	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001096_001097_group.png
1261	1283	209	196	338	223	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001261_001283_group.png
1312	1359	864	58	1007	80	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001312_001359_group.png
1431	1523	113	254	381	311	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001431_001523_group.png
1569	1613	1027	53	1134	75	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001569_001613_group.png
1630	1660	891	29	1143	90	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001630_001660_group.png
1667	1677	914	94	1129	100	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001667_001677_group.png
1976	1979	330	377	349	390	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001976_001979_group.png
2070	2149	404	340	485	405	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002070_002149_group.png
2179	2380	120	326	827	425	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002179_002380_group.png
2496	2561	98	481	316	549	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002496_002561_group.png
2563	2573	325	474	341	487	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002563_002573_group.png
2689	2779	101	579	351	658	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002689_002779_group.png
2903	2905	865	354	877	364	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002903_002905_group.png
2953	2977	1149	46	1216	72	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002953_002977_group.png
3118	3135	1131	30	1233	91	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003118_003135_group.png
3136	3146	1135	87	1214	92	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003136_003146_group.png
3228	3256	926	325	969	378	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003228_003256_group.png
3346	3400	986	331	1134	374	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003346_003400_group.png
3493	3513	1156	336	1221	365	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003493_003513_group.png
3533	3538	894	320	908	391	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003533_003538_group.png
3544	3603	904	300	1232	398	../SampleVideos/more/khan7/khan7_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003544_003603_group.png
