start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	100	72	416	188	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000000_000000_group.png
239	258	156	227	190	293	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000239_000258_group.png
265	295	190	243	273	290	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000265_000295_group.png
381	411	298	224	332	295	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000381_000411_group.png
704	727	324	197	584	313	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000704_000727_group.png
733	748	346	184	380	217	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000733_000748_group.png
786	813	630	219	694	256	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000786_000813_group.png
830	842	705	234	724	255	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000830_000842_group.png
881	899	290	317	533	336	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000881_000899_group.png
1243	1250	85	405	95	482	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001243_001250_group.png
1274	1287	98	486	115	501	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001274_001287_group.png
1314	1340	101	385	120	412	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001314_001340_group.png
1496	1517	94	383	188	458	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001496_001517_group.png
1524	1531	194	431	212	454	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001524_001531_group.png
1536	1551	237	422	274	454	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001536_001551_group.png
1652	1683	45	416	75	483	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001652_001683_group.png
1876	1901	321	405	403	482	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001876_001901_group.png
1956	1975	427	415	474	459	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001956_001975_group.png
1980	1984	530	416	546	455	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001980_001984_group.png
2074	2095	493	415	520	453	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002074_002095_group.png
2331	2332	591	427	594	427	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002331_002332_group.png
2483	2508	641	390	704	448	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002483_002508_group.png
2516	2520	764	403	785	447	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002516_002520_group.png
2549	2565	725	410	750	440	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002549_002565_group.png
2584	2586	795	423	796	424	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002584_002586_group.png
2591	2599	835	390	838	411	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002591_002599_group.png
2640	2656	832	434	854	447	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002640_002656_group.png
2664	2694	887	395	915	429	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002664_002694_group.png
3054	3068	634	460	797	482	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003054_003068_group.png
3081	3112	654	497	721	539	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003081_003112_group.png
3136	3164	728	507	785	539	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003136_003164_group.png
3288	3304	827	446	929	471	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003288_003304_group.png
3342	3357	814	509	857	533	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003342_003357_group.png
3399	3405	568	610	584	620	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003399_003405_group.png
3410	3476	611	584	817	631	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_003410_003476_group.png
