start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	100	0	1279	719	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000000_000000.png
239	258	156	227	190	293	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000239_000258.png
265	280	190	243	220	287	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000265_000280.png
281	286	229	250	242	291	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000281_000286.png
288	291	259	261	272	263	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000288_000291.png
292	295	260	270	273	273	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000292_000295.png
381	386	309	223	322	253	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000381_000386.png
389	392	301	259	327	261	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000389_000392.png
394	411	298	268	332	296	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000394_000411.png
440	458	209	54	428	203	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000440_000458.png
498	503	209	134	634	492	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000498_000503.png
704	714	324	196	585	314	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000704_000714.png
718	727	458	252	468	273	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000718_000727.png
733	748	346	184	380	217	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000733_000748.png
786	795	630	239	661	256	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000786_000795.png
798	813	663	219	695	255	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000798_000813.png
830	842	705	233	724	255	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000830_000842.png
881	899	290	314	534	336	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_000881_000899.png
1243	1250	84	405	95	482	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001243_001250.png
1274	1287	98	485	115	501	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001274_001287.png
1314	1326	96	392	112	415	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001314_001326.png
1327	1340	110	375	125	397	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001327_001340.png
1496	1501	93	381	155	458	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001496_001501.png
1503	1506	164	429	169	453	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001503_001506.png
1507	1510	159	443	173	446	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001507_001510.png
1511	1517	175	414	188	428	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001511_001517.png
1524	1531	193	431	213	454	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001524_001531.png
1536	1542	237	426	247	454	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001536_001542.png
1544	1551	257	422	274	452	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001544_001551.png
1652	1659	52	416	64	442	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001652_001659.png
1661	1666	44	446	71	452	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001661_001666.png
1667	1683	45	457	76	483	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001667_001683.png
1876	1879	321	405	389	439	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001876_001879.png
1881	1883	369	441	399	446	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001881_001883.png
1887	1901	372	459	403	483	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001887_001901.png
1956	1969	427	416	453	459	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001956_001969.png
1971	1975	460	414	475	460	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001971_001975.png
1980	1984	529	416	546	456	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_001980_001984.png
2074	2080	491	428	510	451	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002074_002080.png
2081	2095	492	414	521	455	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002081_002095.png
2331	2332	590	426	596	427	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002331_002332.png
2333	2337	590	433	597	434	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002333_002337.png
2483	2495	641	405	667	448	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002483_002495.png
2497	2500	678	389	683	404	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002497_002500.png
2504	2508	687	407	704	448	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002504_002508.png
2516	2520	713	403	785	447	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002516_002520.png
2544	2545	703	409	703	409	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002544_002545.png
2549	2553	722	420	738	439	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002549_002553.png
2554	2565	725	406	751	442	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002554_002565.png
2584	2586	795	422	797	425	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002584_002586.png
2591	2599	826	389	839	414	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002591_002599.png
2635	2638	832	424	853	424	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002635_002638.png
2640	2650	825	433	853	450	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002640_002650.png
2653	2656	845	432	856	447	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002653_002656.png
2664	2694	883	394	916	430	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_002664_002694.png
3054	3068	633	460	798	482	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003054_003068.png
3081	3094	654	512	699	539	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003081_003094.png
3095	3098	691	526	706	528	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003095_003098.png
3101	3112	709	497	722	511	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003101_003112.png
3136	3139	727	509	738	540	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003136_003139.png
3140	3145	744	522	752	529	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003140_003145.png
3146	3157	751	505	768	535	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003146_003157.png
3160	3164	773	504	786	540	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003160_003164.png
3288	3304	822	444	930	472	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003288_003304.png
3342	3357	814	508	858	534	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003342_003357.png
3399	3402	567	610	580	613	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003399_003402.png
3403	3405	572	618	585	620	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003403_003405.png
3410	3415	611	609	635	631	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003410_003415.png
3416	3424	636	609	665	627	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003416_003424.png
3426	3435	677	606	712	622	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003426_003435.png
3436	3441	716	595	730	619	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003436_003441.png
3443	3452	731	584	759	622	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003443_003452.png
3454	3469	763	588	795	622	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003454_003469.png
3473	3476	794	584	817	631	../SampleVideos/more/khan8/khan8_removelogo_fgpixel_objs_noseg/obj_003473_003476.png
