start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	112	44	647	121	obj_000000_000000.png
28	543	102	42	259	251	obj_000028_000543.png
606	762	257	38	440	248	obj_000606_000762.png
791	981	380	27	650	237	obj_000791_000981.png
1045	1361	509	32	860	215	obj_001045_001361.png
1429	1662	201	195	224	217	obj_001429_001662.png
1672	1910	176	301	238	396	obj_001672_001910.png
1942	2557	250	124	407	411	obj_001942_002557.png
2568	3182	532	11	1183	241	obj_002568_003182.png
3975	4156	575	174	831	434	obj_003975_004156.png
4165	4255	761	335	842	373	obj_004165_004255.png
4275	4347	150	539	218	584	obj_004275_004347.png
4363	4672	240	128	1204	579	obj_004363_004672.png
4689	5161	386	231	1241	561	obj_004689_005161.png
5180	5314	559	496	707	562	obj_005180_005314.png
5327	5398	728	512	801	543	obj_005327_005398.png
5413	5618	124	469	822	610	obj_005413_005618.png
