start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	432	71	467	94	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_001_001.png
0	0	577	71	595	112	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_002_001.png
0	0	565	73	583	86	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_003_001.png
0	0	410	75	426	96	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_004_001.png
0	0	401	77	403	97	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_005_001.png
0	0	549	78	558	80	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_006_001.png
0	0	613	78	623	102	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_007_001.png
0	0	114	80	128	148	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_008_001.png
0	0	449	80	461	92	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_009_001.png
0	0	524	86	542	107	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_010_001.png
0	0	209	87	220	99	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_011_001.png
0	0	624	87	647	105	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_012_001.png
0	0	648	98	648	99	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_012_002.png
0	0	307	88	339	96	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_013_001.png
0	0	272	94	290	114	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_014_001.png
0	0	299	94	307	115	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_015_001.png
0	0	482	95	491	105	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_016_001.png
0	0	138	96	148	135	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_017_001.png
0	0	317	98	333	117	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_018_001.png
0	0	392	98	460	104	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_019_001.png
0	0	365	99	375	110	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_020_001.png
0	0	164	100	180	123	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_021_001.png
0	0	191	106	209	124	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_022_001.png
0	0	435	107	444	118	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_023_001.png
0	0	240	109	251	112	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_024_001.png
0	0	415	119	431	139	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_025_001.png
0	0	113	141	113	142	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000000_000000_026_001.png
396	397	104	246	110	247	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000396_000397_001_001.png
396	397	105	255	110	255	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000396_000397_002_001.png
420	440	151	69	226	130	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000420_000440_001_001.png
420	440	224	112	224	113	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000420_000440_002_001.png
420	440	225	118	225	120	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000420_000440_003_001.png
420	440	161	121	224	138	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000420_000440_004_001.png
460	475	154	219	164	278	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000460_000475_001_001.png
492	502	176	235	189	259	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000492_000502_001_001.png
503	520	211	225	220	240	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs/cleanup/obj_000503_000520_001_001.png
