start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	113	71	648	148	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000000_000000_group.png
396	397	104	246	110	255	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000396_000397_group.png
420	440	151	69	226	138	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000420_000440_group.png
460	475	154	219	164	278	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000460_000475_group.png
492	541	176	225	259	259	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000492_000541_group.png
624	646	258	65	350	131	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000624_000646_group.png
657	663	280	244	291	246	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000657_000663_group.png
684	695	311	211	320	275	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000684_000695_group.png
700	731	336	223	391	250	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000700_000731_group.png
743	760	410	226	441	245	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000743_000760_group.png
810	830	381	54	480	152	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000810_000830_group.png
844	850	477	225	487	239	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000844_000850_group.png
859	877	513	204	522	263	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000859_000877_group.png
883	918	540	200	603	231	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000883_000918_group.png
941	971	564	216	651	257	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000941_000971_group.png
1066	1082	510	59	598	128	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001066_001082_group.png
