start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	1082	113	54	648	152	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000000_001082_group.png
396	397	104	246	110	255	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000396_000397_group.png
460	475	154	219	164	278	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000460_000475_group.png
492	502	176	235	189	259	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000492_000502_group.png
503	1595	196	222	225	256	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000503_001595_group.png
523	529	231	239	240	257	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000523_000529_group.png
530	541	248	241	259	256	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000530_000541_group.png
657	663	280	244	291	246	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000657_000663_group.png
684	695	311	211	320	275	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000684_000695_group.png
700	2194	333	203	400	263	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000700_002194_group.png
743	748	410	226	419	245	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000743_000748_group.png
749	760	429	228	441	242	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000749_000760_group.png
844	850	477	225	487	239	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000844_000850_group.png
859	877	513	204	522	263	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000859_000877_group.png
883	2678	533	123	720	268	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_000883_002678_group.png
1112	1122	728	188	743	242	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_001112_001122_group.png
1128	1137	763	205	775	221	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_001128_001137_group.png
1139	4025	780	175	832	204	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_001139_004025_group.png
1164	1172	827	200	838	217	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_001164_001172_group.png
1173	1178	846	203	860	215	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_001173_001178_group.png
1688	1698	207	353	226	376	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_001688_001698_group.png
1707	1718	230	328	239	343	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_001707_001718_group.png
1736	1741	183	385	225	388	../SampleVideos/more/khan9/khan9_removelogo_fgpixel_objs_noseg/cleanup/negate/overlap/obj_001736_001741_group.png
