start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
287	297	35	23	39	32	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000287_000297_group.png
300	355	39	23	65	38	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000300_000355_group.png
357	402	70	26	100	32	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000357_000402_group.png
404	415	104	18	108	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000404_000415_group.png
426	434	116	22	118	24	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000426_000434_group.png
451	462	117	30	117	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000451_000462_group.png
527	567	136	17	155	34	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000527_000567_group.png
571	630	162	17	196	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000571_000630_group.png
632	667	201	17	221	30	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000632_000667_group.png
674	691	225	23	230	34	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000674_000691_group.png
705	801	248	14	311	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000705_000801_group.png
854	866	330	24	335	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000854_000866_group.png
875	878	333	15	334	16	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000875_000878_group.png
915	949	358	23	373	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000915_000949_group.png
951	975	379	17	385	29	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000951_000975_group.png
978	982	395	23	399	30	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000978_000982_group.png
986	1007	400	20	403	29	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_000986_001007_group.png
1059	1147	515	32	553	55	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001059_001147_group.png
1172	1178	535	14	536	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001172_001178_group.png
1184	1203	117	30	539	54	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001184_001203_group.png
1208	1214	536	55	537	69	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001208_001214_group.png
1242	1267	532	24	538	28	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001242_001267_group.png
1272	1290	544	22	546	27	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001272_001290_group.png
1303	1310	546	15	547	16	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001303_001310_group.png
1348	1360	564	26	565	32	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001348_001360_group.png
1368	1373	562	28	569	30	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001368_001373_group.png
1392	1403	560	58	566	58	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001392_001403_group.png
1415	1421	564	41	567	46	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001415_001421_group.png
1424	1431	568	39	571	45	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001424_001431_group.png
1469	1474	559	59	562	62	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001469_001474_group.png
1680	1702	24	73	29	84	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001680_001702_group.png
1714	1731	30	73	36	82	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001714_001731_group.png
1735	1767	39	74	49	81	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001735_001767_group.png
1779	1795	54	73	61	80	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001779_001795_group.png
1799	1832	65	64	81	82	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001799_001832_group.png
1840	1851	82	73	86	74	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001840_001851_group.png
1947	1954	118	77	118	91	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001947_001954_group.png
1968	1978	109	94	122	94	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001968_001978_group.png
1983	1991	111	95	121	103	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001983_001991_group.png
1995	2000	116	103	122	103	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_001995_002000_group.png
2003	2010	109	104	121	111	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002003_002010_group.png
2014	2021	115	111	122	111	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002014_002021_group.png
2055	2080	115	114	118	136	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002055_002080_group.png
2117	2159	114	80	123	85	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002117_002159_group.png
2168	2183	127	79	130	84	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002168_002183_group.png
2191	2195	129	73	130	75	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002191_002195_group.png
2218	2232	144	89	147	97	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002218_002232_group.png
2235	2244	148	93	151	93	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002235_002244_group.png
2264	2275	142	119	149	120	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002264_002275_group.png
2288	2297	144	105	147	109	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002288_002297_group.png
2299	2308	147	105	150	108	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002299_002308_group.png
2357	2364	89	99	91	110	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate//consecutive/obj_002357_002364_group.png
