start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
287	297	35	23	39	32	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000287_000297_group_00.png
300	355	39	23	39	24	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000300_000355_group_00.png
300	355	42	25	58	33	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000300_000355_group_01.png
300	355	60	24	65	38	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000300_000355_group_02.png
357	402	70	26	100	32	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000357_000402_group_00.png
404	415	104	18	108	31	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000404_000415_group_00.png
426	434	116	22	118	24	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000426_000434_group_00.png
451	462	117	30	117	31	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000451_000462_group_00.png
527	567	136	24	142	34	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000527_000567_group_00.png
527	567	144	25	149	33	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000527_000567_group_01.png
527	567	152	17	155	31	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000527_000567_group_02.png
571	630	162	24	167	31	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000571_000630_group_00.png
571	630	169	17	196	31	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000571_000630_group_01.png
632	667	201	22	204	30	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000632_000667_group_00.png
632	667	209	17	216	29	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000632_000667_group_01.png
632	667	219	24	221	29	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000632_000667_group_02.png
674	691	225	23	230	34	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000674_000691_group_00.png
705	801	248	14	265	31	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000705_000801_group_00.png
705	801	268	15	311	30	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000705_000801_group_01.png
854	866	330	24	335	31	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000854_000866_group_00.png
875	878	333	15	334	16	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000875_000878_group_00.png
915	949	358	23	363	31	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000915_000949_group_00.png
915	949	366	24	373	30	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000915_000949_group_01.png
951	975	379	17	385	29	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000951_000975_group_00.png
978	982	395	23	399	30	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000978_000982_group_00.png
986	1007	400	20	403	29	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_000986_001007_group_00.png
1059	1147	515	32	553	55	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001059_001147_group_00.png
1172	1178	535	14	536	31	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001172_001178_group_00.png
1184	1203	117	30	118	32	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001184_001203_group_00.png
1208	1214	536	55	537	69	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001208_001214_group_00.png
1242	1267	532	24	534	26	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001242_001267_group_00.png
1242	1267	537	25	538	28	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001242_001267_group_01.png
1272	1290	544	22	546	27	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001272_001290_group_00.png
1303	1310	546	15	547	16	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001303_001310_group_00.png
1348	1360	564	26	565	32	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001348_001360_group_00.png
1368	1373	562	28	563	29	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001368_001373_group_00.png
1368	1373	566	28	569	30	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001368_001373_group_01.png
1392	1403	560	58	566	58	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001392_001403_group_00.png
1415	1421	564	41	567	46	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001415_001421_group_00.png
1424	1431	568	39	571	45	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001424_001431_group_00.png
1469	1474	559	59	560	62	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001469_001474_group_00.png
1680	1702	24	73	29	84	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001680_001702_group_00.png
1714	1731	30	73	30	73	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001714_001731_group_00.png
1714	1731	32	75	36	82	../SampleVideos/more/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg/cleanup/negate/consecutive//xcut/obj_001714_001731_group_01.png
