start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
0	0	0	0	639	0	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000000_000000.png
287	297	35	23	39	32	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000287_000297.png
300	355	39	23	65	38	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000300_000355.png
357	402	70	26	100	32	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000357_000402.png
404	415	104	18	108	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000404_000415.png
426	434	116	22	118	24	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000426_000434.png
451	462	117	30	117	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000451_000462.png
527	567	136	17	155	34	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000527_000567.png
571	618	162	17	189	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000571_000618.png
619	630	190	25	196	30	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000619_000630.png
632	645	201	22	204	30	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000632_000645.png
646	667	209	17	221	29	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000646_000667.png
674	691	225	23	230	34	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000674_000691.png
705	732	248	14	265	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000705_000732.png
733	801	268	15	311	30	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000733_000801.png
854	866	330	24	335	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000854_000866.png
875	878	333	15	334	16	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000875_000878.png
915	949	358	23	373	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000915_000949.png
951	975	379	17	385	29	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000951_000975.png
978	982	395	23	399	30	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000978_000982.png
986	988	400	27	400	29	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000986_000988.png
989	1007	400	20	403	26	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_000989_001007.png
1059	1093	515	32	545	55	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001059_001093.png
1094	1102	546	32	552	46	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001094_001102.png
1103	1123	517	47	553	53	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001103_001123.png
1124	1147	522	52	551	53	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001124_001147.png
1172	1178	535	14	536	31	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001172_001178.png
1184	1203	117	30	539	54	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001184_001203.png
1208	1214	536	55	537	69	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001208_001214.png
1242	1267	532	24	538	28	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001242_001267.png
1272	1290	544	22	546	27	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001272_001290.png
1303	1310	546	15	547	16	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001303_001310.png
1348	1360	564	26	565	32	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001348_001360.png
1368	1373	562	28	569	30	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001368_001373.png
1392	1396	560	58	561	58	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001392_001396.png
1397	1403	562	58	566	58	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001397_001403.png
1415	1421	564	41	567	46	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001415_001421.png
1424	1431	568	39	571	45	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001424_001431.png
1469	1474	559	59	562	62	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001469_001474.png
1540	1547	543	25	543	25	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001540_001547.png
1680	1702	24	73	29	84	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001680_001702.png
1714	1731	30	73	36	82	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001714_001731.png
1735	1767	39	74	49	81	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001735_001767.png
1779	1795	54	73	61	80	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001779_001795.png
1799	1813	65	64	71	82	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001799_001813.png
1814	1832	71	74	81	80	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001814_001832.png
1835	1839	81	75	81	75	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001835_001839.png
1840	1851	82	73	86	74	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001840_001851.png
1947	1954	118	77	118	91	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001947_001954.png
1968	1978	109	94	122	94	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001968_001978.png
1983	1991	111	95	121	103	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001983_001991.png
1992	1994	112	103	112	103	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001992_001994.png
1995	2000	116	103	122	103	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_001995_002000.png
2003	2010	109	104	121	111	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002003_002010.png
2014	2021	115	111	122	111	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002014_002021.png
2055	2080	115	114	118	136	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002055_002080.png
2110	2116	116	82	116	82	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002110_002116.png
2117	2122	115	81	115	83	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002117_002122.png
2123	2134	114	82	115	82	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002123_002134.png
2135	2144	116	82	117	84	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002135_002144.png
2145	2159	120	80	123	85	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002145_002159.png
2168	2183	127	79	130	84	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002168_002183.png
2191	2195	129	73	130	75	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002191_002195.png
2218	2232	144	89	147	97	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002218_002232.png
2235	2244	148	93	151	93	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002235_002244.png
2264	2275	142	119	149	120	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002264_002275.png
2288	2297	144	105	147	109	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002288_002297.png
2299	2308	147	105	150	108	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002299_002308.png
2357	2364	89	99	91	110	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002357_002364.png
2383	2415	91	98	96	104	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002383_002415.png
2421	2439	92	105	98	111	../../Desktop/lpk1/lpk_removelogo_negate_fgpixel_objs_noseg//cleanup/obj_002421_002439.png
