start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
45	490	57	40	103	71	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000045_000490_00.png
490	506	104	41	108	74	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000490_000506_00.png
506	555	58	71	103	72	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000506_000555_00.png
669	709	180	41	182	68	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000669_000709_00.png
709	755	182	39	232	70	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000709_000755_00.png
756	780	183	70	183	71	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000756_000780_00.png
756	780	189	68	230	71	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000756_000780_01.png
781	906	300	100	351	136	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000781_000906_00.png
906	908	348	131	349	131	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000906_000908_00.png
908	962	78	24	78	24	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000908_000962_00.png
962	980	79	24	81	38	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000962_000980_00.png
981	1110	79	24	80	38	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000981_001110_00.png
981	1110	82	17	323	40	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_000981_001110_01.png
1110	1111	324	18	325	18	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_001110_001111_00.png
1111	1153	324	19	331	97	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_001111_001153_00.png
1171	1187	328	94	330	97	..\SampleVideos\more\lpk3\lec_fgpixel_objs\cleanup\negate/xcut/obj_001171_001187_00.png
