start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
39	399	31	46	63	77	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000039_000399.png
399	403	34	51	35	52	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000399_000403.png
403	411	35	50	36	50	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000403_000411.png
429	473	46	51	47	56	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000429_000473.png
473	495	44	71	44	71	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000473_000495.png
495	646	4	56	47	71	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000495_000646.png
652	684	50	28	52	45	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000652_000684.png
684	712	51	22	116	27	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000684_000712.png
713	784	104	23	121	64	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000713_000784.png
789	862	106	67	125	106	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000789_000862.png
862	891	117	111	118	134	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000862_000891.png
895	924	45	79	48	130	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000895_000924.png
925	952	49	131	114	132	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000925_000952.png
952	978	115	132	116	132	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_000952_000978.png
1052	1150	75	48	95	58	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001052_001150.png
1155	1178	73	95	78	103	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001155_001178.png
1178	1190	75	93	80	94	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001178_001190.png
1190	1222	83	94	91	102	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001190_001222.png
1230	1247	92	102	93	103	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001230_001247.png
1265	1284	118	30	118	30	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001265_001284.png
1284	1329	118	31	118	32	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001284_001329.png
1334	1372	124	20	127	31	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001334_001372.png
1424	1455	138	38	139	44	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001424_001455.png
1460	1481	137	67	139	67	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001460_001481.png
1483	1501	139	50	144	56	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001483_001501.png
1505	1536	147	56	147	59	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001505_001536.png
1539	1550	140	86	140	87	..\..\Desktop\lpkVideos\7\lec_fgpixel_objs\/cleanup/obj_001539_001550.png
