start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
-1	124	18	30	21	30	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_-00001_000124.png
124	1218	4	22	125	134	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_000124_001218.png
1218	1236	91	96	91	102	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_001218_001236.png
1236	1288	92	30	118	103	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_001236_001288.png
1288	1657	116	20	147	112	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_001288_001657.png
1657	3105	113	19	403	108	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_001657_003105.png
3105	4687	118	27	398	135	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_003105_004687.png
4687	5154	98	80	119	85	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_004687_005154.png
5154	5184	99	74	99	74	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_005154_005184.png
5184	5251	104	82	306	140	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_005184_005251.png
5251	5437	193	73	226	102	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_005251_005437.png
5437	5461	223	91	223	95	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_005437_005461.png
5461	5844	219	100	234	114	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_005461_005844.png
5844	7191	5	98	180	247	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_005844_007191.png
7191	7982	51	186	132	305	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_007191_007982.png
7982	10103	94	200	238	288	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_007982_010103.png
10103	12194	266	197	464	265	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_010103_012194.png
12194	14213	365	304	441	336	..\..\Desktop\lpkVideos\7\lec_negate_fgpixel_objs\obj_012194_014213.png
