start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
12	444	35	14	84	32	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_000012_000444_00.png
444	600	107	17	192	32	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_000444_000600_00.png
624	818	132	60	171	94	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_000624_000818_00.png
818	865	103	67	169	78	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_000818_000865_00.png
865	964	137	68	144	75	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_000865_000964_00.png
1009	1010	17	55	25	55	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001009_001010_00.png
1021	1039	23	55	42	55	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001021_001039_00.png
1039	1103	43	48	99	62	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001039_001103_00.png
1105	1110	101	51	102	51	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001105_001110_00.png
1110	1114	103	50	103	54	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001110_001114_00.png
1116	1143	102	51	104	72	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001116_001143_00.png
1144	1202	19	72	132	81	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001144_001202_00.png
1202	1281	19	70	100	83	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001202_001281_00.png
1284	1366	7	46	105	75	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001284_001366_00.png
1366	1401	5	41	8	48	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001366_001401_00.png
1401	1443	9	40	17	53	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001401_001443_00.png
1446	1476	7	88	12	96	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001446_001476_00.png
1477	1506	13	85	15	97	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001477_001506_00.png
1506	1525	18	94	22	99	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001506_001525_00.png
1525	1629	18	39	57	100	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001525_001629_00.png
1629	1642	57	40	60	46	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001629_001642_00.png
1642	1644	60	41	61	41	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001642_001644_00.png
1644	1684	58	43	62	86	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001644_001684_00.png
1684	1695	57	87	57	93	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001684_001695_00.png
1696	1719	56	86	61	89	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001696_001719_00.png
1719	1778	58	89	64	95	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001719_001778_00.png
1778	1817	173	75	231	78	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001778_001817_00.png
1868	1885	105	90	131	91	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001868_001885_00.png
1932	2014	96	92	114	144	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_001932_002014_00.png
2014	2016	106	139	107	140	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_002014_002016_00.png
2017	2447	84	78	207	131	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_002017_002447_00.png
2449	2575	105	131	109	151	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_002449_002575_00.png
2597	2735	102	157	111	166	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_002597_002735_00.png
2735	2768	103	159	103	160	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_002735_002768_00.png
2768	3420	101	71	104	75	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_002768_003420_00.png
3420	3927	341	30	377	34	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_003420_003927_00.png
3927	3970	377	20	409	42	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_003927_003970_00.png
3970	4069	410	31	481	37	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_003970_004069_00.png
4069	4136	483	23	557	42	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_004069_004136_00.png
4143	4272	331	13	340	29	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_004143_004272_00.png
4272	4402	389	18	573	49	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_004272_004402_00.png
4402	4470	385	45	500	56	../SampleVideos/more/lpk4/lec_fgpixel_objs/cleanup//xcut/obj_004402_004470_00.png
