start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
122	2159	5	14	231	141	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_000122_002159_00.png
2159	2825	84	119	92	131	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_002159_002825_00.png
2159	2825	102	104	157	166	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_002159_002825_01.png
2159	2825	159	87	178	111	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_002159_002825_02.png
2159	2825	180	78	207	105	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_002159_002825_03.png
2825	3857	101	71	102	75	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_002825_003857_00.png
3857	5384	218	51	227	66	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_003857_005384_00.png
3857	5384	229	60	234	65	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_003857_005384_01.png
3857	5384	331	13	576	114	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_003857_005384_02.png
5384	5998	386	113	395	126	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_005384_005998_00.png
5384	5998	447	97	451	99	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_005384_005998_01.png
5384	5998	496	114	504	124	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_005384_005998_02.png
5998	7250	429	3	467	144	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_005998_007250_00.png
7250	9419	337	155	422	206	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_007250_009419_00.png
7250	9419	426	158	451	159	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_007250_009419_01.png
7250	9419	462	154	486	158	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_007250_009419_02.png
7250	9419	488	143	568	204	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_007250_009419_03.png
7250	9419	578	102	583	107	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_007250_009419_04.png
7250	9419	593	100	599	112	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_007250_009419_05.png
7250	9419	602	114	602	117	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_007250_009419_06.png
7250	9419	609	108	612	114	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_007250_009419_07.png
7250	9419	617	105	618	110	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_007250_009419_08.png
7250	9419	620	105	623	115	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_007250_009419_09.png
7250	9419	629	112	635	119	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_007250_009419_10.png
9530	9850	138	83	142	84	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_009530_009850_00.png
9850	11892	8	241	209	370	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_009850_011892_00.png
11892	13743	302	259	311	321	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_011892_013743_00.png
11892	13743	313	269	343	327	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_011892_013743_01.png
11892	13743	346	259	436	350	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_011892_013743_02.png
11892	13743	438	261	509	348	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_011892_013743_03.png
11892	13743	512	317	515	322	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_011892_013743_04.png
13743	16000	305	415	308	421	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_013743_016000_00.png
13743	16000	310	254	514	453	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_013743_016000_01.png
16000	16673	522	326	529	333	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_016000_016673_00.png
16000	16673	537	320	546	334	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_016000_016673_01.png
16000	16673	548	333	551	338	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_016000_016673_02.png
16000	16673	558	329	561	330	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_016000_016673_03.png
16000	16673	569	320	578	339	../SampleVideos/more/lpk4/lec_negate_fgpixel_objs/cleanup/negate//xcut//obj_016000_016673_04.png
