start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
24	794	21	17	97	42	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_000024_000794.png
794	805	100	26	101	32	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_000794_000805.png
806	847	105	18	116	34	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_000806_000847.png
850	874	122	18	127	32	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_000850_000874.png
876	910	130	25	140	33	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_000876_000910.png
910	912	142	25	144	25	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_000910_000912.png
978	983	37	62	37	62	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_000978_000983.png
983	1023	36	54	38	80	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_000983_001023.png
1023	1082	31	80	45	95	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001023_001082.png
1082	1104	36	100	39	118	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001082_001104.png
1104	1164	32	119	50	141	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001104_001164.png
1164	1183	42	143	43	173	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001164_001183.png
1185	1309	54	77	61	88	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001185_001309.png
1310	1333	66	87	67	92	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001310_001333.png
1341	1382	58	125	64	136	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001341_001382.png
1389	1403	71	133	71	136	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001389_001403.png
1404	1414	70	138	71	138	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001404_001414.png
1477	1519	14	75	18	81	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001477_001519.png
1519	1530	15	78	15	78	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001519_001530.png
1530	1534	18	89	18	89	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001530_001534.png
1539	1561	14	100	17	100	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001539_001561.png
1561	1565	14	90	14	90	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001561_001565.png
1565	1575	13	89	14	89	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001565_001575.png
1575	1584	15	89	17	92	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001575_001584.png
1589	1609	20	91	21	96	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001589_001609.png
1610	1620	15	122	15	126	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001610_001620.png
1620	1636	15	123	16	129	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001620_001636.png
1636	1655	14	125	20	139	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001636_001655.png
1660	1716	16	133	24	151	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001660_001716.png
1744	1766	15	150	20	150	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001744_001766.png
1852	1882	35	72	39	74	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001852_001882.png
1882	1895	40	71	45	72	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001882_001895.png
1896	1920	45	72	47	73	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\/cleanup/obj_001896_001920.png
