start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
-1	0	0	0	639	0	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_-00001_000000.png
0	9	21	26	21	26	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000000_000009.png
24	794	21	17	97	42	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000024_000794.png
794	805	100	26	102	32	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000794_000805.png
805	806	98	19	101	23	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000805_000806.png
806	847	105	18	116	34	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000806_000847.png
849	850	121	25	128	25	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000849_000850.png
850	874	122	18	127	32	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000850_000874.png
874	875	132	28	132	28	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000874_000875.png
875	876	128	26	135	26	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000875_000876.png
876	910	130	25	147	33	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000876_000910.png
910	912	142	25	144	25	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000910_000912.png
975	978	36	64	43	64	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000975_000978.png
978	983	34	56	37	62	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000978_000983.png
983	1023	35	54	38	84	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_000983_001023.png
1023	1082	31	80	45	95	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001023_001082.png
1082	1104	36	100	39	123	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001082_001104.png
1104	1164	32	119	50	145	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001104_001164.png
1164	1183	42	143	43	178	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001164_001183.png
1183	1185	43	174	43	174	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001183_001185.png
1185	1309	54	77	65	88	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001185_001309.png
1310	1333	66	87	67	92	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001310_001333.png
1341	1382	58	125	64	140	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001341_001382.png
1382	1383	64	136	64	136	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001382_001383.png
1384	1388	69	129	69	133	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001384_001388.png
1389	1403	69	133	71	142	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001389_001403.png
1404	1414	70	138	74	143	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001404_001414.png
1414	1440	69	142	69	142	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001414_001440.png
1440	1477	2	77	6	77	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001440_001477.png
1477	1519	14	74	18	82	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001477_001519.png
1519	1530	15	75	18	82	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001519_001530.png
1530	1534	18	89	18	96	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001530_001534.png
1534	1539	14	104	14	104	..\..\Desktop\lpkVideos\4\lec_fgpixel_objs\obj_001534_001539.png
