start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
-1	45	22	31	22	31	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_-00001_000045.png
45	1498	15	17	145	175	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_000045_001498.png
1498	1513	16	75	17	81	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_001498_001513.png
1513	1702	13	78	24	141	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_001513_001702.png
1702	1850	15	149	20	151	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_001702_001850.png
1850	2078	35	63	48	115	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_001850_002078.png
2078	2261	35	105	40	107	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_002078_002261.png
2261	2687	36	45	99	174	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_002261_002687.png
2687	2995	161	48	168	63	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_002687_002995.png
2995	3893	178	42	253	64	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_002995_003893.png
3893	3993	164	92	164	97	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_003893_003993.png
3993	4390	164	78	227	105	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_003993_004390.png
4390	4519	207	96	237	110	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_004390_004519.png
4519	4795	159	108	238	145	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_004519_004795.png
4795	4898	181	161	187	161	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_004795_004898.png
4898	4951	183	167	188	167	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_004898_004951.png
4951	5639	198	151	255	185	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_004951_005639.png
5639	7116	368	31	452	165	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_005639_007116.png
7116	7789	362	28	514	164	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_007116_007789.png
7789	8071	365	119	387	131	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_007789_008071.png
8071	8649	25	217	139	236	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_008071_008649.png
8649	9746	16	249	163	334	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_008649_009746.png
9746	10242	4	259	168	337	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_009746_010242.png
10257	11415	213	239	305	315	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_010257_011415.png
11415	11633	230	297	257	328	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_011415_011633.png
11633	11756	265	309	271	310	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_011633_011756.png
11756	11805	268	313	272	313	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_011756_011805.png
11805	12432	282	292	374	327	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_011805_012432.png
12432	13209	234	341	315	375	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_012432_013209.png
13209	13647	402	253	503	332	..\..\Desktop\lpkVideos\4\lec_negate_fgpixel_objs\/cleanup/obj_013209_013647.png
