start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
3	2028	29	24	43	46	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_00.png
3	2028	47	35	52	45	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_01.png
3	2028	54	26	88	127	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_02.png
3	2028	104	36	111	46	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_03.png
3	2028	115	35	128	58	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_04.png
3	2028	131	28	134	42	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_05.png
3	2028	137	34	141	42	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_06.png
3	2028	147	34	154	42	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_07.png
3	2028	156	22	159	42	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_08.png
3	2028	161	35	176	44	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_09.png
3	2028	178	24	184	46	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_10.png
3	2028	198	35	205	45	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_11.png
3	2028	211	30	214	43	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_12.png
3	2028	217	35	223	44	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_13.png
3	2028	225	35	228	43	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_14.png
3	2028	234	34	240	44	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_15.png
3	2028	244	35	246	43	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_16.png
3	2028	251	26	258	45	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_17.png
3	2028	365	68	402	152	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_18.png
3	2028	406	73	420	148	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_19.png
3	2028	424	16	521	151	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_20.png
3	2028	524	24	534	111	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_21.png
3	2028	536	102	543	111	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_000003_002028_22.png
2028	2417	67	81	138	143	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_002028_002417_00.png
2417	2877	36	110	45	123	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_002417_002877_00.png
2417	2877	47	112	51	127	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_002417_002877_01.png
2417	2877	120	102	131	115	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_002417_002877_02.png
2417	2877	135	82	147	140	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_002417_002877_03.png
2877	3151	22	73	138	160	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_002877_003151_00.png
2877	3151	183	130	187	132	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_002877_003151_01.png
3151	3534	143	62	154	86	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_003151_003534_00.png
3151	3534	161	85	169	141	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_003151_003534_01.png
3534	4235	109	186	119	203	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_003534_004235_00.png
4235	4622	119	200	124	205	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_004235_004622_00.png
4235	4622	133	192	138	197	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_004235_004622_01.png
4235	4622	148	189	161	202	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_004235_004622_02.png
4235	4622	163	186	169	202	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_004235_004622_03.png
4235	4622	173	186	180	199	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_004235_004622_04.png
4235	4622	183	183	188	200	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_004235_004622_05.png
4622	4821	112	222	124	234	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_004622_004821_00.png
4622	4821	128	232	133	236	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_004622_004821_01.png
5021	5545	141	224	146	229	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_005021_005545_00.png
5021	5545	152	219	163	232	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_005021_005545_01.png
5545	6634	109	255	118	269	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_005545_006634_00.png
5545	6634	120	252	129	270	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_005545_006634_01.png
5545	6634	139	258	144	263	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_005545_006634_02.png
5545	6634	152	250	160	261	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_005545_006634_03.png
5545	6634	163	257	168	261	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_005545_006634_04.png
5545	6634	170	216	181	268	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_005545_006634_05.png
5545	6634	183	266	188	271	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_005545_006634_06.png
6634	6942	94	322	120	345	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_006634_006942_00.png
6942	7502	76	326	91	344	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_006942_007502_00.png
6942	7502	102	299	215	368	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_006942_007502_01.png
7502	8142	63	286	205	384	..\SampleVideos\more\lpk9\lec_fgpix_objs\cleanup\negate/xcut/obj_007502_008142_00.png
