start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
-1	0	35	37	36	37	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_-00001_000000_00.png
44	490	29	24	43	46	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_00.png
44	490	47	35	52	45	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_01.png
44	490	54	36	60	45	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_02.png
44	490	62	26	75	45	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_03.png
44	490	78	36	88	45	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_04.png
44	490	104	36	111	46	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_05.png
44	490	115	35	128	58	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_06.png
44	490	131	28	134	42	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_07.png
44	490	137	34	141	42	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_08.png
44	490	147	34	154	42	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_09.png
44	490	156	22	159	42	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_10.png
44	490	161	35	176	44	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_11.png
44	490	178	24	184	46	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_12.png
44	490	198	35	205	45	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_13.png
44	490	211	30	214	43	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_14.png
44	490	217	35	223	44	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_15.png
44	490	225	35	228	43	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_16.png
44	490	234	34	240	44	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_17.png
44	490	244	35	246	43	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_18.png
44	490	251	26	253	45	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000044_000490_19.png
490	491	254	37	254	37	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000490_000491_00.png
496	633	453	23	488	50	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000496_000633_00.png
633	687	450	24	495	57	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000633_000687_00.png
687	688	493	29	494	29	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000687_000688_00.png
690	762	492	28	493	28	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000690_000762_00.png
690	762	495	29	516	50	..\SampleVideos\more\lpk9\lec_fgpixel_objs_prev\cleanup\negate/xcut/obj_000690_000762_01.png
