start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
-1	0	35	37	42	37	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_-00001_000000.png
0	44	34	48	38	48	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000000_000044.png
44	490	28	22	259	58	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000044_000490.png
490	491	254	33	261	41	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000490_000491.png
491	492	255	33	258	41	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000491_000492.png
496	633	453	21	489	50	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000496_000633.png
633	687	450	24	495	57	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000633_000687.png
687	688	486	29	494	33	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000687_000688.png
688	690	490	23	490	23	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000688_000690.png
690	762	491	25	516	50	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000690_000762.png
762	764	508	25	512	25	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000762_000764.png
764	792	504	12	514	35	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000764_000792.png
792	919	505	16	534	99	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000792_000919.png
919	998	365	68	376	88	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000919_000998.png
998	1061	377	83	382	87	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_000998_001061.png
1061	1062	394	74	394	74	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001061_001062.png
1062	1065	393	70	396	78	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001062_001065.png
1065	1264	394	70	521	86	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001065_001264.png
1264	1265	514	74	516	76	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001264_001265.png
1265	1266	515	77	515	77	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001265_001266.png
1266	1292	372	106	379	106	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001266_001292.png
1292	1307	376	104	379	121	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001292_001307.png
1307	1327	370	108	387	119	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001307_001327.png
1327	1602	369	99	543	123	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001327_001602.png
1602	1645	378	138	385	138	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001602_001645.png
1645	1719	380	136	436	152	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001645_001719.png
1719	1842	329	111	474	151	..\..\Desktop\lpkVideos\9\lec_fgpixel_objs\obj_001719_001842.png
