start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
-1	7	0	67	960	720	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_-00001_000007.png
145	177	86	196	116	225	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_000145_000177.png
220	253	160	238	190	268	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_000220_000253.png
1158	1284	95	252	124	281	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_001158_001284.png
1508	1524	143	174	173	202	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_001508_001524.png
1742	1834	553	80	564	93	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_001742_001834.png
1851	1896	499	56	555	85	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_001851_001896.png
1912	2124	466	32	553	89	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_001912_002124.png
2317	2355	291	256	319	280	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_002317_002355.png
2521	2556	563	89	592	120	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_002521_002556.png
2680	2822	135	56	562	160	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_002680_002822.png
2824	2930	560	46	588	82	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_002824_002930.png
2934	3148	579	45	670	84	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_002934_003148.png
3151	3183	673	59	688	76	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_003151_003183.png
3425	3540	248	253	469	357	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_003425_003540.png
3543	3636	241	344	293	370	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_003543_003636.png
3736	3950	273	141	545	367	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_003736_003950.png
3952	4065	552	140	614	161	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_003952_004065.png
4403	4490	515	185	546	203	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_004403_004490.png
4520	4634	554	186	584	205	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_004520_004634.png
4695	4883	595	181	660	205	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_004695_004883.png
4921	5240	679	177	841	205	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_004921_005240.png
5242	5304	797	198	846	222	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_005242_005304.png
5319	5335	853	211	882	241	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_005319_005335.png
5368	5388	74	79	711	190	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_005368_005388.png
5478	5933	565	267	712	308	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_005478_005933.png
5934	5966	655	315	680	334	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_005934_005966.png
5966	6084	552	254	732	356	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_005966_006084.png
6097	6132	552	255	732	355	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_006097_006132.png
6163	6506	506	402	718	438	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_006163_006506.png
6508	6731	477	453	565	483	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_006508_006731.png
6731	6983	503	452	712	488	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_006731_006983.png
7176	7252	504	125	624	174	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_007176_007252.png
7788	7809	610	162	640	191	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_007788_007809.png
8334	8445	516	440	544	470	../SampleVideos/more/mit3/mit3_fgpixel_objs/obj_008334_008445.png
